id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
LGMN	12	0.25524	0.49705	0.946921	11226	5	-0.082633	0.62661	0.83321	1.0	17205	3	-0.082633
HUNK	12	0.25528	0.49705	0.946921	11227	5	-0.11802	0.035874	0.093206	0.671638	2957	4	-0.11802
REV1	12	0.25536	0.49705	0.946921	11228	5	-0.077095	0.29575	0.53867	0.966257	11899	4	-0.077095
PAQR9	12	0.2554	0.49705	0.946921	11229	3	0.096527	0.20634	0.41795	0.907334	9872	5	0.096527
TXNDC8	12	0.25543	0.49705	0.946921	11230	5	-0.072894	0.41015	0.66046	0.992739	14290	3	-0.072894
MST1R	12	0.25549	0.49728	0.946921	11231	5	0.13734	0.090278	0.21387	0.77579	5925	6	0.13734
SLC7A5	12	0.25553	0.49728	0.946921	11232	5	-0.006283	0.3676	0.61744	0.987583	13417	4	-0.006283
PLA2G4C	12	0.25568	0.49747	0.946921	11233	4	0.054396	0.46642	0.70914	1.0	15057	4	0.054396
IFNA7	12	0.25576	0.49747	0.946921	11234	2	0.10153	0.2996	0.54338	0.966257	12015	5	0.10153
hsa-mir-4638	8	0.25587	0.45097	0.918563	11235	3	0.20533	0.15692	0.30965	0.833863	8303	4	0.20533
MAP9	12	0.25591	0.49747	0.946921	11236	5	0.042331	0.3511	0.5933	0.974871	13090	4	0.042331
SPATA25	12	0.25593	0.49747	0.946921	11237	5	-0.048895	0.88779	0.95411	1.0	19668	1	-0.048895
PAX5	12	0.25594	0.49747	0.946921	11238	5	0.04432	0.19178	0.39325	0.892397	9431	5	0.04432
SCN3A	12	0.25601	0.49747	0.946921	11239	5	-0.083532	0.58308	0.79064	1.0	16671	4	-0.083532
ZNF518B	12	0.25602	0.49747	0.946921	11240	5	0.042848	0.13101	0.28143	0.813963	7426	5	0.042848
IGJ	12	0.25603	0.49747	0.946921	11241	3	0.062328	0.56114	0.77419	1.0	16376	4	0.062328
CAPN10	12	0.25604	0.49747	0.946921	11242	4	0.10095	0.21794	0.43972	0.924387	10192	6	0.10095
hsa-mir-4476	8	0.25616	0.45097	0.918563	11243	2	0.14673	0.13709	0.27877	0.813963	7641	4	0.14673
TCP11L1	12	0.25618	0.49943	0.946921	11244	4	0.039019	0.097054	0.22918	0.795567	6180	5	0.039019
hsa-mir-4705	8	0.25626	0.45122	0.91882	11245	4	-0.19427	0.59796	0.77296	1.0	16863	2	-0.19427
NAT2	12	0.25628	0.49943	0.946921	11246	4	-0.10611	0.15678	0.32426	0.839738	8299	4	-0.10611
GPR174	12	0.25629	0.49943	0.946921	11247	5	-0.13029	0.46073	0.70514	1.0	14993	3	-0.13029
IFI44L	12	0.25633	0.49943	0.946921	11248	2	0.36201	0.043522	0.10982	0.692479	3377	7	0.36201
hsa-mir-4725	8	0.25637	0.45122	0.91882	11249	4	-0.23397	0.063284	0.14237	0.706863	4553	1	-0.23397
POLD4	12	0.25642	0.49966	0.946921	11250	3	0.082754	0.19259	0.39378	0.892397	9459	5	0.082754
RAB8A	12	0.25643	0.49966	0.946921	11251	5	0.14656	0.16351	0.33346	0.842981	8521	5	0.14656
EVPLL	12	0.25651	0.49966	0.946921	11252	4	-0.027496	0.0065948	0.018922	0.498132	789	5	-0.027496
S100G	12	0.25653	0.49966	0.946921	11253	5	-0.14267	0.59475	0.80585	1.0	16818	3	-0.14267
hsa-mir-4718	8	0.25666	0.4525	0.920395	11254	3	-0.17279	0.3325	0.54148	0.966257	12686	3	-0.17279
CHMP5	12	0.25667	0.49966	0.946921	11255	4	0.0061833	0.85086	0.94384	1.0	19432	3	0.0061833
FGD3	12	0.25668	0.49966	0.946921	11256	5	-0.18266	0.052654	0.1306	0.70531	3924	4	-0.18266
TAF4	12	0.25672	0.49966	0.946921	11257	5	-0.19484	0.29661	0.53954	0.966257	11927	5	-0.19484
DPH7	10	0.25683	0.47718	0.939005	11258	5	-0.17376	0.10802	0.2343	0.799292	6587	3	-0.17376
PARM1	12	0.25687	0.49996	0.946921	11259	4	0.16403	0.095154	0.22571	0.792416	6115	5	0.16403
hsa-mir-558	8	0.25687	0.4525	0.920395	11260	4	-0.078995	0.39326	0.58587	0.971709	13941	2	-0.078995
CDC25A	12	0.25691	0.49996	0.946921	11261	5	-0.15336	0.7101	0.87706	1.0	18036	2	-0.15336
ONECUT2	12	0.25692	0.49996	0.946921	11262	3	0.26239	0.033028	0.088038	0.671638	2775	7	0.26239
TCL1B	12	0.25698	0.49996	0.946921	11263	4	-0.055486	0.26901	0.50514	0.955459	11333	4	-0.055486
LUZP6	10	0.25705	0.47718	0.939005	11264	5	-0.21538	0.39683	0.62399	0.987583	14024	2	-0.21538
GALNT12	12	0.25706	0.49996	0.946921	11265	4	0.044215	0.007802	0.021335	0.503695	900	5	0.044215
TM4SF5	12	0.25709	0.49996	0.946921	11266	4	0.11614	0.54713	0.76531	1.0	16167	4	0.11614
HRK	12	0.2571	0.49996	0.946921	11267	4	-0.046099	0.031112	0.080134	0.646144	2652	3	-0.046099
