category,term,number_of_genes,number_of_genes_in_background,ncbiTaxonId,inputGenes,preferredNames,p_value,fdr,description
Process,GO:0060333,6,12,9606,"IRF1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1","IRF1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1",6.39e-18,1e-13,Interferon-gamma-mediated signaling pathway
Process,GO:0034341,7,127,9606,"IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1","IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1",4.56e-15,3.58e-11,Response to interferon-gamma
RCTM,HSA-877312,5,14,9606,"STAT1,IFNGR1,JAK2,IFNGR2,JAK1","STAT1,IFNGR1,JAK2,IFNGR2,JAK1",2.63e-14,5.99e-11,Regulation of IFNG signaling
RCTM,HSA-913531,7,199,9606,"IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1","IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1",9.77e-14,1.11e-10,Interferon Signaling
RCTM,HSA-877300,6,90,9606,"IRF1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1","IRF1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1",3.17e-13,2.41e-10,Interferon gamma signaling
Process,GO:0009615,7,356,9606,"IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1","IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1",5.35e-12,2.1e-08,Response to virus
Process,GO:0019221,7,369,9606,"IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1","IRF1,IFITM1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1",6.85e-12,2.15e-08,Cytokine-mediated signaling pathway
Process,GO:0006955,8,1321,9606,"IRF1,IFITM1,TAP1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1","IRF1,IFITM1,TAP1,STAT1,IFNGR1,JAK2,IFNGR2,JAK1",4.19e-10,1.1e-06,Immune response
