Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
C7orf63	6	0.39891	0.75857	0.77882	0.99682	0.44811	0.84383
HSDL1	6	0.43047	0.77865	0.73752	0.99682	0.43619	0.84383
DOCK5	6	-0.17855	-0.35772	0.49283	0.98755	0.72055	0.89844
KCNS3	6	0.16034	0.25095	0.8898	0.99682	0.80186	0.92439
ARPC4-TTLL3	3	0.14338	0.32322	0.93303	0.99751	0.74653	0.90664
ZFP37	6	-1.1749	-1.7143	0.026225	0.771	0.086465	0.84383
G2E3	6	0.16462	0.30004	0.89584	0.99682	0.76415	0.91251
ITPA	6	0.16126	0.59642	0.89086	0.99682	0.5509	0.8503
GJB1	6	0.55084	0.99434	0.58497	0.98963	0.32006	0.84383
MAGI1	6	-0.076292	-0.14051	0.6011	0.99078	0.88826	0.95702
ITCH	6	-0.71542	-1.8049	0.12338	0.91089	0.071089	0.84383
BARD1	6	-0.97009	-1.2589	0.052081	0.81766	0.20806	0.84383
DARC	6	1.0148	0.94484	0.20192	0.94021	0.34474	0.84383
ARMC8	6	0.61045	1.0599	0.52261	0.98798	0.28917	0.84383
KCNK4	6	1.4686	0.97906	0.053325	0.82274	0.32755	0.84383
BAI3	6	1.2826	1.0694	0.094483	0.89255	0.2849	0.84383
hsa-mir-1258	4	0.8462	0.91331	0.41586	0.97893	0.36108	0.84383
COL21A1	6	0.84953	0.94767	0.30248	0.95101	0.3433	0.84383
ANO9	6	0.36137	0.61322	0.82864	0.99682	0.53973	0.8483
PAF1	6	0.04421	0.078265	0.73757	0.99682	0.93762	0.97541
GHRL	6	0.13582	0.25721	0.85611	0.99682	0.79702	0.92293
DACT3	6	0.4109	0.42751	0.76324	0.99682	0.66901	0.88132
hsa-mir-6855	4	-0.26518	-0.23706	0.5133	0.98798	0.81261	0.92928
PRPS1L1	6	0.27868	1.0327	0.94078	0.99751	0.30176	0.84383
UGGT2	6	0.35232	0.59928	0.84104	0.99682	0.54899	0.84951
KISS1R	6	0.11183	0.16685	0.82431	0.99682	0.86749	0.94871
JUP	6	-0.025293	-0.068055	0.65843	0.99651	0.94574	0.97802
UBA7	6	1.0957	1.1882	0.16113	0.92898	0.23477	0.84383
OR5K4	6	-0.27028	-0.6904	0.40489	0.97572	0.48994	0.84383
KIAA0355	6	-0.076992	-0.15837	0.60027	0.99078	0.87417	0.95177
RPA1	6	-0.44292	-0.55744	0.26718	0.94696	0.57723	0.8561
AGAP2	6	0.74988	1.0826	0.38277	0.96869	0.27899	0.84383
LPPR2	6	0.45621	0.93449	0.70429	0.99682	0.35005	0.84383
THAP9	6	-0.22724	-0.40985	0.4461	0.98349	0.68192	0.88497
FAM199X	6	0.30886	0.88382	0.8986	0.99682	0.3768	0.84383
ARSG	6	0.097307	0.21926	0.80509	0.99682	0.82645	0.93437
LRRC59	6	-0.423	-0.80528	0.2822	0.94792	0.42066	0.84383
BTG4	6	0.32036	0.82969	0.88358	0.99682	0.40671	0.84383
TMEM150C	6	0.98852	0.99022	0.21634	0.94021	0.32207	0.84383
GRIK3	6	0.40311	0.90454	0.77389	0.99682	0.36571	0.84383
BASP1	6	0.22543	0.57282	0.98304	0.99944	0.56677	0.85454
hsa-mir-548aa-2	4	-0.79772	-1.6998	0.17754	0.93462	0.089174	0.84383
KLHL7	6	-0.81652	-1.9834	0.088676	0.89038	0.047327	0.84383
hsa-mir-1277	4	-0.45667	-0.98885	0.36341	0.96557	0.32274	0.84383
GPER	6	0.44568	0.54693	0.71678	0.99682	0.58443	0.85829
KLLN	6	-0.028872	-0.072581	0.65415	0.99558	0.94214	0.97716
FOXR1	6	0.43527	1.6263	0.73015	0.99682	0.10388	0.84383
TMEM79	6	0.28645	0.75059	0.93077	0.99751	0.4529	0.84383
SAMD13	6	-0.35781	-1.0813	0.33134	0.95522	0.27958	0.84383
hsa-mir-509-1	4	-0.26568	-0.8317	0.51288	0.98798	0.40558	0.84383
EPB41L4A	6	-0.23995	-0.69183	0.43324	0.98153	0.48904	0.84383
USP17L3	4	-1.1023	-1.8343	0.08568	0.88025	0.06661	0.84383
CLN3	6	-0.27586	-0.63806	0.39946	0.97448	0.52344	0.84562
PRR22	6	0.25386	0.63246	0.97728	0.99944	0.52709	0.84598
SMYD2	6	-1.1103	-2.1748	0.032954	0.78744	0.029643	0.84383
UNC13B	6	-0.13285	-0.37002	0.54007	0.98816	0.71136	0.89516
PRR3	6	-0.067538	-0.1749	0.61128	0.99078	0.86116	0.9462
CLEC11A	6	0.28648	0.39233	0.93077	0.99751	0.69482	0.88998
OR51B6	6	0.0074707	0.018192	0.69618	0.99682	0.98549	0.99461
TM2D1	6	0.59558	0.75295	0.53763	0.98798	0.45148	0.84383
MANSC1	6	0.95706	0.9356	0.23386	0.9415	0.34948	0.84383
CISH	6	-0.17392	-0.48238	0.4974	0.98755	0.62954	0.87001
DAZ1	6	-0.29063	-1.4925	0.38664	0.97044	0.13556	0.84383
NonTargetingControlGuideForHuman_0712	1	2.0579	0.27693	0.26031	0.94696	0.78184	0.91739
C11orf30	6	0.6123	1.086	0.52053	0.98798	0.27747	0.84383
POU2F3	6	0.17584	0.4037	0.91312	0.9972	0.68643	0.88631
MEIS2	6	-0.065173	-0.18291	0.61363	0.99078	0.85487	0.94456
NTSR2	6	0.55909	1.75	0.57598	0.98944	0.080115	0.84383
ZNF235	6	0.65946	0.98677	0.47089	0.98674	0.32375	0.84383
E2F7	6	0.75163	0.90408	0.38134	0.96869	0.36595	0.84383
CCDC134	6	0.15279	0.33736	0.87994	0.99682	0.73585	0.90396
TGFB3	6	-0.64282	-1.7186	0.15366	0.92898	0.085682	0.84383
PLAC9	6	0.42278	1.2505	0.74891	0.99682	0.21111	0.84383
HYAL4	6	0.63639	1.2029	0.4956	0.98755	0.22902	0.84383
FBXL4	6	0.4001	0.86577	0.77762	0.99682	0.38662	0.84383
HIBCH	6	-0.58491	-1.573	0.18021	0.93547	0.11572	0.84383
ALPI	6	-0.13923	-0.43725	0.53362	0.98798	0.66193	0.87894
GP9	6	0.52316	0.77724	0.61824	0.99078	0.43702	0.84383
TPPP2	6	0.20681	0.66115	0.95598	0.99885	0.50852	0.84469
PPIL4	6	-0.71647	-1.3068	0.12292	0.90993	0.19127	0.84383
TP53TG3	5	0.32262	1.0819	0.88911	0.99682	0.27931	0.84383
ANKRD22	6	-0.62318	-1.2585	0.16219	0.92898	0.20822	0.84383
hsa-mir-6771	4	-0.71077	-1.4112	0.21519	0.94021	0.1582	0.84383
SMPD2	6	0.23811	0.49273	0.99917	1	0.62221	0.86811
C1orf234	6	-0.12129	-0.31276	0.55201	0.98936	0.75446	0.9091
LSM1	6	-0.63301	-1.4065	0.15827	0.92898	0.15957	0.84383
POMC	6	0.044983	0.14375	0.7384	0.99682	0.8857	0.95648
COX6A1	6	1.2237	1.1302	0.112	0.90965	0.25839	0.84383
SLC39A14	6	0.15493	0.35564	0.88233	0.99682	0.72211	0.89876
MRGPRD	6	-1.0354	-1.7878	0.041573	0.80106	0.073808	0.84383
ATHL1	6	-0.36582	-0.90566	0.32475	0.95199	0.36512	0.84383
TMEM11	6	0.68462	0.88385	0.44661	0.98349	0.37678	0.84383
TIMM9	6	-0.14556	-0.51212	0.52634	0.98798	0.60857	0.86228
SLC25A31	6	0.017777	0.048172	0.70766	0.99682	0.96158	0.98437
PCDHB4	6	-0.56422	-0.82636	0.19086	0.93547	0.4086	0.84383
PGS1	6	0.49638	0.74825	0.65014	0.99492	0.45431	0.84383
SSU72	6	-0.42711	-0.61846	0.27958	0.94792	0.53628	0.84761
COG2	6	0.0020139	0.0029843	0.68936	0.99682	0.99762	0.99911
MVB12A	6	-0.13956	-0.44753	0.53312	0.98798	0.65449	0.87652
C6orf141	6	0.37055	0.72017	0.81597	0.99682	0.47142	0.84383
NFE2L2	6	0.29602	0.73292	0.91745	0.9972	0.46361	0.84383
PPARGC1A	6	0.59458	0.8838	0.53828	0.98799	0.37681	0.84383
IGFBP3	6	0.5548	0.99637	0.58036	0.98944	0.31907	0.84383
SMUG1	6	-0.01349	-0.024911	0.67212	0.99682	0.98013	0.99308
C1orf127	6	-0.37551	-0.63431	0.31709	0.95153	0.52588	0.84562
RHOU	6	0.86567	1.2203	0.29009	0.94873	0.22234	0.84383
AHCTF1	6	-0.53283	-1.0659	0.2092	0.94021	0.28647	0.84383
PEPD	6	0.70917	0.91276	0.42112	0.97893	0.36137	0.84383
IFITM5	6	0.036507	0.061759	0.72923	0.99682	0.95075	0.97974
AANAT	6	0.085569	0.15547	0.78965	0.99682	0.87645	0.95296
PRELID2	6	-0.4788	-1.0504	0.24335	0.9415	0.29351	0.84383
CXorf51A	5	0.83309	1.1238	0.36526	0.96635	0.2611	0.84383
STAMBPL1	6	0.34635	0.77779	0.84873	0.99682	0.4367	0.84383
ATPAF1	6	0.33753	0.85601	0.85915	0.99682	0.39199	0.84383
OR4A16	6	-0.48777	-1.0421	0.23704	0.9415	0.29736	0.84383
FAM76A	6	0.28029	0.76065	0.93815	0.99751	0.44687	0.84383
AICDA	6	0.018203	0.056099	0.70825	0.99682	0.95526	0.98215
FGF21	6	0.021969	0.039484	0.7124	0.99682	0.9685	0.98708
ERVMER34-1	6	0.32576	0.5592	0.87579	0.99682	0.57602	0.8561
CDK5RAP2	6	0.47894	1.2149	0.67364	0.99682	0.22441	0.84383
MYOM1	6	0.534	0.98097	0.60538	0.99078	0.32661	0.84383
NOTCH3	6	0.87737	0.97852	0.28276	0.94792	0.32782	0.84383
HTR1E	6	0.43545	0.87076	0.72992	0.99682	0.38389	0.84383
OAZ3	6	0.67787	0.91007	0.45361	0.98479	0.36279	0.84383
SLC35G2	6	-0.47507	-1.1449	0.24621	0.9415	0.25224	0.84383
CCDC87	6	0.1725	0.33386	0.90759	0.99682	0.73848	0.90464
GTF2B	6	0.24287	1.7277	0.9923	0.99944	0.084037	0.84383
ASB3	6	-0.64041	-1.2021	0.15518	0.92898	0.22933	0.84383
hsa-mir-3202-1	4	0.46624	0.78031	0.73568	0.99682	0.43521	0.84383
ASUN	6	-0.16147	-0.17184	0.51012	0.98798	0.86357	0.94726
FHOD3	6	1.6868	0.85078	0.027469	0.77366	0.39489	0.84383
OR5F1	6	0.98833	1.038	0.21657	0.94021	0.29925	0.84383
FRG1	6	-1.1635	-1.9303	0.027377	0.77366	0.053571	0.84383
SLC5A11	6	0.45863	2.1221	0.70139	0.99682	0.033831	0.84383
MS4A7	6	0.30318	1.3585	0.9069	0.99682	0.1743	0.84383
ZSCAN23	6	1.4793	0.94073	0.051436	0.81766	0.34685	0.84383
LY6H	6	-0.60448	-1.7149	0.17071	0.93443	0.086369	0.84383
KIAA1161	6	0.82163	1.2716	0.3235	0.95199	0.2035	0.84383
CTPS2	6	0.088067	0.23612	0.79283	0.99682	0.81334	0.92941
PAAF1	6	-0.48178	-0.74878	0.24114	0.9415	0.45399	0.84383
ITPRIP	6	0.2419	0.69491	0.99359	0.99944	0.48711	0.84383
LOC728392	6	0.5024	0.71899	0.64322	0.99425	0.47215	0.84383
hsa-mir-3928	4	0.89874	0.89144	0.37885	0.96858	0.37269	0.84383
LSG1	6	0.53307	1.1452	0.60617	0.99078	0.25214	0.84383
P4HA3	6	0.36255	0.75347	0.82661	0.99682	0.45117	0.84383
hsa-mir-589	4	1.2935	0.81868	0.17569	0.93462	0.41297	0.84383
SLC34A2	6	-0.021381	-0.049995	0.66286	0.99682	0.96013	0.984
RASIP1	6	-0.28898	-0.47702	0.38798	0.97049	0.63335	0.87157
BBS1	6	1.145	0.9604	0.14094	0.92639	0.33685	0.84383
SLC25A44	6	-0.22047	-0.65169	0.452	0.98414	0.5146	0.84562
MTCH2	6	1.1181	0.9425	0.15251	0.92898	0.34594	0.84383
SRSF2	6	0.44489	0.75355	0.71738	0.99682	0.45112	0.84383
SORT1	6	0.45515	0.71425	0.70558	0.99682	0.47507	0.84383
PRDM9	6	0.11148	0.23214	0.8238	0.99682	0.81643	0.93058
KRTAP25-1	6	-0.13827	-0.48291	0.53445	0.98798	0.62916	0.86998
MDN1	6	0.0041105	0.0058393	0.69212	0.99682	0.99534	0.99838
CDAN1	6	0.15802	0.2087	0.88662	0.99682	0.83468	0.93762
COG5	6	0.55806	0.96139	0.57708	0.98944	0.33636	0.84383
C16orf55	5	-0.70265	-1.4664	0.16601	0.93171	0.14253	0.84383
hsa-mir-362	4	1.0536	1.0248	0.28649	0.94843	0.30546	0.84383
SLC5A9	6	-1.0387	-1.8253	0.041204	0.80106	0.067963	0.84383
RBM38	6	0.20066	0.3632	0.94732	0.99835	0.71646	0.89683
C1GALT1C1	6	0.57185	0.71487	0.5628	0.98944	0.47469	0.84383
ITFG1	6	-0.35906	-0.76358	0.33028	0.95451	0.44512	0.84383
HBG1	6	0.25809	0.63436	0.97161	0.99944	0.52584	0.84562
DMWD	6	-0.11147	-0.28748	0.56211	0.98944	0.77375	0.91479
NonTargetingControlGuideForHuman_0497	1	0.10029	0.39	0.94414	0.99791	0.69654	0.89045
DUSP8	6	-0.36616	-0.47183	0.32442	0.95199	0.63705	0.87187
RFTN1	6	0.35503	0.78488	0.83689	0.99682	0.43252	0.84383
FBXW11	6	0.31198	0.54139	0.89423	0.99682	0.58824	0.85852
hsa-mir-4665	4	0.4263	0.45519	0.77642	0.99682	0.64897	0.8754
SNAPC2	6	-0.20244	-0.45189	0.46781	0.9865	0.65135	0.87548
TBC1D5	6	0.41169	0.80652	0.76204	0.99682	0.41994	0.84383
VWA9	6	0.22753	0.46678	0.98599	0.99944	0.64066	0.87247
WDFY3	6	0.44746	0.79498	0.7154	0.99682	0.42662	0.84383
hsa-mir-4315-1	4	0.18036	0.37025	0.95096	0.99841	0.7112	0.89516
ABCF3	6	0.26696	0.67245	0.95866	0.9989	0.5013	0.84383
NFU1	6	0.65454	1.0429	0.47619	0.98755	0.29699	0.84383
AQP5	6	1.2778	0.95638	0.095451	0.89266	0.33888	0.84383
PPOX	6	0.70748	1.0302	0.42282	0.97992	0.30293	0.84383
RBBP4	6	0.20124	0.32751	0.94829	0.99835	0.74328	0.90588
KDM4E	6	0.5096	0.92293	0.63442	0.99299	0.35604	0.84383
COPRS	6	0.85867	1.1071	0.29493	0.94955	0.26824	0.84383
hsa-mir-3913-1	4	0.84912	1.0205	0.41393	0.97893	0.30751	0.84383
hsa-mir-802	4	-1.8808	-3.4453	0.010601	0.66092	0.00057041	0.32755
hsa-mir-4417	4	0.63582	0.98702	0.58215	0.98944	0.32363	0.84383
NARF	6	0.10991	0.20254	0.82196	0.99682	0.83949	0.93955
CCDC153	6	1.0145	1.0503	0.20206	0.94021	0.29358	0.84383
KRT78	6	-0.019722	-0.03829	0.66479	0.99682	0.96946	0.98757
GLIPR2	6	-0.54507	-1.1022	0.20215	0.94021	0.27038	0.84383
BEX2	6	0.32775	0.84373	0.87219	0.99682	0.39882	0.84383
FAM92A1	6	0.48637	0.63503	0.66304	0.99682	0.52541	0.84562
hsa-mir-625	4	1.4136	0.56235	0.13675	0.91945	0.57388	0.85573
KRT3	6	-0.71575	-2.4346	0.1232	0.91042	0.014907	0.84383
ZSWIM7	6	1.6111	0.81315	0.034106	0.7907	0.41613	0.84383
P2RY6	6	0.0087513	0.010419	0.69784	0.99682	0.99169	0.9972
GLIS2	6	-0.49863	-1.3008	0.23082	0.94129	0.19334	0.84383
ST3GAL2	6	0.29766	0.48797	0.91529	0.9972	0.62557	0.86922
ANKS1A	6	0.60625	1.2923	0.52666	0.98798	0.19627	0.84383
RIPK3	6	0.65261	1.0561	0.47873	0.98755	0.29093	0.84383
PCSK4	6	0.65763	1.1381	0.47278	0.98674	0.25508	0.84383
CLDN8	6	0.51827	0.92788	0.62465	0.99168	0.35347	0.84383
CXorf61	6	-0.10383	-0.33842	0.57109	0.98944	0.73505	0.90396
IGFL1	6	0.97606	0.74051	0.22275	0.94021	0.45899	0.84383
TDGF1	6	-0.55064	-1.375	0.19823	0.9399	0.16914	0.84383
MYPOP	6	-0.059512	-0.17618	0.6188	0.99078	0.86015	0.9462
hsa-mir-941-1	4	0.37222	0.69976	0.83251	0.99682	0.48408	0.84383
SLCO3A1	6	0.20008	0.44793	0.94658	0.9983	0.65421	0.87628
ZMYM1	6	0.86583	1.1349	0.29004	0.94873	0.25642	0.84383
NEUROG2	6	-0.49076	-1.1452	0.23547	0.9415	0.25213	0.84383
OR4D1	6	0.9658	1.0845	0.22842	0.94021	0.27813	0.84383
FAM92B	6	0.82119	0.79619	0.32392	0.95199	0.42592	0.84383
AMBRA1	6	0.55643	0.93186	0.57893	0.98944	0.35141	0.84383
EFCAB11	6	0.74655	1.0596	0.38595	0.97034	0.28935	0.84383
HSD17B2	6	-0.1284	-0.29155	0.5445	0.98816	0.77063	0.9143
LOC100288332	3	-0.053135	-0.24031	0.75642	0.99682	0.81009	0.92786
YIF1B	6	-0.71101	-1.3583	0.12499	0.91129	0.17435	0.84383
RANBP9	6	0.35218	0.40176	0.84113	0.99682	0.68786	0.88689
TEX264	6	-0.031065	-0.092636	0.65147	0.99507	0.92619	0.97052
BEX1	6	0.94212	1.1216	0.24271	0.9415	0.26204	0.84383
THBS2	6	0.77958	1.0542	0.35705	0.9639	0.2918	0.84383
SNTG2	6	1.0285	1.125	0.19482	0.93708	0.2606	0.84383
RALYL	6	1.5729	0.85336	0.038853	0.80106	0.39346	0.84383
FOXD1	6	0.37747	0.7418	0.80693	0.99682	0.45821	0.84383
TMEM102	6	-0.9961	-2.3909	0.04761	0.81147	0.016809	0.84383
hsa-mir-6812	4	0.41929	0.36728	0.78476	0.99682	0.71341	0.89609
PSMD9	6	-0.99573	-1.923	0.04761	0.81147	0.054475	0.84383
hsa-mir-5197	4	0.21579	0.48908	0.99299	0.99944	0.62479	0.869
ZNF329	6	0.16824	0.45884	0.90174	0.99682	0.64635	0.87472
HADHA	6	-0.74217	-1.5796	0.11416	0.90965	0.11421	0.84383
hsa-mir-7112-1	4	-1.3452	-2.6938	0.044568	0.80635	0.0070648	0.84383
SNURF	6	-0.071275	-0.13654	0.607	0.99078	0.8914	0.95833
BRMS1L	6	-0.72412	-1.5733	0.12034	0.90965	0.11566	0.84383
EPM2A	6	-0.022769	-0.042373	0.66166	0.99682	0.9662	0.98598
PDZK1IP1	6	0.3159	0.71059	0.88925	0.99682	0.47734	0.84383
DDX11	6	0.13525	1.5712	0.85519	0.99682	0.11615	0.84383
KRTAP12-3	6	1.0882	1.1227	0.16431	0.93083	0.26159	0.84383
PCDH17	6	-0.10003	-0.28883	0.57566	0.98944	0.77271	0.91468
C18orf8	6	-0.2171	-0.69444	0.45495	0.98503	0.4874	0.84383
ZNF528	6	0.29977	0.61977	0.91206	0.9972	0.53541	0.84761
GTF2IRD2B	3	0.66377	0.84958	0.60096	0.99078	0.39556	0.84383
B3GNT5	6	0.068354	0.17863	0.76513	0.99682	0.85823	0.94587
BSCL2	6	0.085238	0.21583	0.78923	0.99682	0.82912	0.9358
DKK4	6	1.451	1.154	0.055906	0.83025	0.24851	0.84383
SLC6A1	6	0.21256	0.37167	0.9635	0.99919	0.71014	0.89498
KIAA1755	6	-0.24375	-0.65438	0.42951	0.98146	0.51287	0.84562
ADIPOQ	6	0.98954	1.2457	0.21579	0.94021	0.21286	0.84383
B3GNTL1	6	0.092351	0.24039	0.79817	0.99682	0.81003	0.92784
CHTF8	6	-0.72001	-1.5382	0.12172	0.90965	0.12399	0.84383
ASB8	6	0.43952	0.71577	0.72402	0.99682	0.47413	0.84383
IRX4	6	-0.39436	-0.67831	0.3035	0.95125	0.49757	0.84383
NonTargetingControlGuideForHuman_0722	1	1.3536	0.46623	0.43877	0.98346	0.64105	0.87247
hsa-mir-6715a	4	0.14759	0.36778	0.91584	0.9972	0.71304	0.89576
HIST1H2AK	6	1.181	0.79518	0.12675	0.9127	0.42651	0.84383
OR3A3	6	1.6213	0.92435	0.032908	0.78744	0.3553	0.84383
HOOK1	6	0.98749	1.101	0.21699	0.94021	0.27091	0.84383
TNFRSF4	6	0.53392	0.97339	0.60552	0.99078	0.33036	0.84383
FAM229B	6	0.41068	0.83678	0.76361	0.99682	0.40272	0.84383
OR51V1	6	0.50223	0.96545	0.64345	0.99425	0.33432	0.84383
TWF1	6	-0.068229	-0.095673	0.61078	0.99078	0.92378	0.96968
MPP5	6	0.48649	1.0142	0.66295	0.99682	0.3105	0.84383
GRAMD1A	6	0.6229	0.93796	0.50878	0.98798	0.34827	0.84383
SLC15A1	6	-0.069503	-0.20368	0.60925	0.99078	0.8386	0.93955
DCHS1	6	-0.28532	-0.75073	0.3913	0.97274	0.45282	0.84383
TIGD1	6	0.4611	1.0191	0.69788	0.99682	0.30817	0.84383
RAB39B	6	-0.35735	-1.0598	0.33166	0.95552	0.28923	0.84383
RNF148	6	0.70853	1.4136	0.42172	0.97893	0.15747	0.84383
NFIL3	6	0.39793	0.94697	0.78006	0.99682	0.34365	0.84383
ATP8B1	4	-0.59622	-1.0531	0.27497	0.94792	0.29228	0.84383
BCOR	6	-0.26598	-0.53993	0.40877	0.9768	0.58925	0.85854
CDK20	6	1.4663	0.87208	0.053648	0.82274	0.38317	0.84383
SERINC1	6	0.3928	1.365	0.7873	0.99682	0.17225	0.84383
RSPRY1	6	-0.59551	-1.2805	0.17505	0.93462	0.20035	0.84383
TMEM184C	6	0.30128	0.74987	0.90962	0.99682	0.45333	0.84383
TWIST1	6	-0.025457	-0.058451	0.65829	0.99651	0.95339	0.98134
IFNA8	6	1.4354	0.94995	0.058672	0.83185	0.34214	0.84383
ITPR1	6	0.96447	1.2342	0.22948	0.94071	0.21712	0.84383
hsa-mir-6745	4	0.89361	0.9677	0.38199	0.96869	0.33319	0.84383
GPR15	6	0.41629	0.75757	0.75692	0.99682	0.44871	0.84383
SPRN	6	-0.4826	-1.2827	0.24031	0.9415	0.19959	0.84383
MYO1F	6	0.18927	0.28786	0.93197	0.99751	0.77345	0.91479
PSMB1	6	-0.77916	-1.2904	0.10047	0.90333	0.19689	0.84383
RNASEL	6	0.14777	0.3783	0.87293	0.99682	0.70521	0.8934
TATDN3	6	0.37229	0.97348	0.81357	0.99682	0.33031	0.84383
CYBA	6	-0.30794	-0.57541	0.37134	0.9684	0.56501	0.8545
ARTN	6	-0.097096	-0.1835	0.57925	0.98944	0.8544	0.94448
RNASEH2B	6	0.097037	0.16872	0.80472	0.99682	0.86601	0.94795
ZC2HC1B	6	-0.18754	-0.54289	0.48421	0.98755	0.58721	0.85852
TGM1	6	0.81954	1.3636	0.32479	0.95199	0.1727	0.84383
ECI1	6	-0.59715	-1.1972	0.17431	0.93462	0.23122	0.84383
SKOR1	6	1.0585	1.0389	0.17901	0.93462	0.29885	0.84383
CNOT6L	6	-0.51672	-0.9691	0.21897	0.94021	0.3325	0.84383
CSRNP2	6	-0.87425	-1.242	0.072959	0.85947	0.21422	0.84383
EIF4G1	6	-0.14569	-0.27413	0.52611	0.98798	0.78398	0.91783
WDR72	6	0.60352	0.98149	0.52915	0.98798	0.32635	0.84383
SLC7A9	6	0.36786	1.2748	0.81956	0.99682	0.20237	0.84383
SNX6	6	0.62521	0.83718	0.50643	0.98798	0.40249	0.84383
CPE	6	0.59767	1.1873	0.53574	0.98798	0.23512	0.84383
ACSS1	6	0.57505	0.83983	0.56026	0.98944	0.401	0.84383
NSFL1C	6	0.72584	0.91489	0.40494	0.97572	0.36025	0.84383
TOR3A	6	0.015453	0.043969	0.70512	0.99682	0.96493	0.98549
LAIR1	6	0.10801	0.28764	0.81938	0.99682	0.77362	0.91479
DCST1	6	0.17944	0.3421	0.91851	0.9972	0.73227	0.90287
KIF6	6	0.29385	0.49334	0.92036	0.9972	0.62177	0.86779
PPP4R1	6	1.398	0.97479	0.06623	0.84431	0.32966	0.84383
NAP1L2	6	-0.10834	-0.24475	0.56588	0.98944	0.80665	0.92615
hsa-mir-651	4	1.2752	0.77267	0.18297	0.93547	0.43972	0.84383
SEPN1	6	0.49091	0.98008	0.65737	0.99644	0.32705	0.84383
ABHD16B	6	1.4598	0.83065	0.054478	0.826	0.40617	0.84383
SNX18	6	-0.061463	-0.14082	0.61704	0.99078	0.88801	0.95682
KIF7	6	0.5371	1.1613	0.60142	0.99078	0.24554	0.84383
AXIN2	6	-0.56394	-1.1586	0.19104	0.93547	0.24661	0.84383
KIF5A	6	0.31826	0.72046	0.88625	0.99682	0.47124	0.84383
ZAR1	6	-0.54936	-1.0606	0.19934	0.94021	0.28888	0.84383
GSAP	5	1.0065	1.2356	0.24819	0.9415	0.21661	0.84383
ITGB7	6	0.60996	1.2543	0.52298	0.98798	0.20975	0.84383
NonTargetingControlGuideForHuman_0067	1	-1.1555	-1.0156	0.41232	0.97783	0.30981	0.84383
TMEM72	6	-0.12448	-0.50398	0.54879	0.98904	0.61427	0.8655
THBD	6	0.4575	0.65046	0.70249	0.99682	0.5154	0.84562
hsa-mir-100	4	-0.81127	-1.6285	0.1726	0.93443	0.10343	0.84383
SMIM21	6	-0.33418	-0.69757	0.3488	0.95823	0.48545	0.84383
UTY	6	-0.50614	-1.0375	0.22524	0.94021	0.29953	0.84383
PLIN5	6	-0.18089	-0.54034	0.49067	0.98755	0.58896	0.85852
METRN	6	0.83546	1.0541	0.31318	0.95153	0.29182	0.84383
SPESP1	5	-0.21932	-0.56441	0.49652	0.98755	0.57247	0.85573
TSGA10	6	-0.27811	-0.48319	0.39747	0.9739	0.62896	0.86991
TRPV2	6	-0.34593	-0.7151	0.34037	0.95588	0.47455	0.84383
SNAI3	6	1.349	0.97484	0.077522	0.86261	0.32964	0.84383
EFCAB4A	6	1.0434	1.0404	0.18648	0.93547	0.29813	0.84383
CXCL9	6	0.28159	0.64081	0.93663	0.99751	0.52165	0.84562
CPEB2	6	0.33078	0.79378	0.86823	0.99682	0.42732	0.84383
LINGO2	6	0.4085	0.87568	0.76706	0.99682	0.3812	0.84383
DDX43	6	0.37503	0.69816	0.81039	0.99682	0.48507	0.84383
hsa-mir-885	4	2.4166	0.346	0.013412	0.68094	0.72934	0.90198
POLN	6	0.48377	0.86968	0.66622	0.99682	0.38448	0.84383
SF3B5	6	0.66516	0.83875	0.46518	0.98648	0.40161	0.84383
TRAPPC8	6	0.044866	0.10042	0.73835	0.99682	0.92001	0.96844
LRGUK	6	0.52629	1.0703	0.61419	0.99078	0.28448	0.84383
C7orf71	6	-0.43451	-1.0332	0.27349	0.94792	0.3015	0.84383
FOXL2	6	1.0591	1.0888	0.17864	0.93462	0.27623	0.84383
WFDC5	6	-0.49875	-0.98267	0.23054	0.94129	0.32577	0.84383
C1orf216	6	0.40514	0.83451	0.77107	0.99682	0.40399	0.84383
HES3	6	0.63112	1.1775	0.5009	0.98755	0.23898	0.84383
OR1L3	6	0.27209	0.59616	0.95124	0.99841	0.55107	0.8503
CTNND2	6	-1.013	-2.4093	0.044661	0.80635	0.015982	0.84383
NonTargetingControlGuideForHuman_0713	1	0.43655	0.56788	0.8933	0.99682	0.57012	0.85492
C5orf28	6	0.19314	0.37465	0.93796	0.99751	0.70792	0.89425
GTPBP6_X	6	0.087864	0.23026	0.79251	0.99682	0.81789	0.93088
SULT1C3	6	0.13614	0.29313	0.85657	0.99682	0.76942	0.91397
FAM133B	6	1.0714	1.0798	0.17274	0.93443	0.28025	0.84383
GPR19	6	0.2898	0.45474	0.92612	0.99747	0.6493	0.8754
CCL14	6	0.47058	0.87812	0.6842	0.99682	0.37988	0.84383
CDY2A	5	-0.58775	-2.3036	0.22201	0.94021	0.021247	0.84383
MXD3	6	0.7344	1.1343	0.39683	0.9739	0.25669	0.84383
ZBTB47	6	-0.36594	-0.83879	0.32475	0.95199	0.40159	0.84383
LY96	6	0.66677	1.0285	0.46407	0.98648	0.30371	0.84383
