Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
MICU1	6	0.99403	0.99071	0.21326	0.94021	0.32183	0.84383
TRAPPC5	6	0.88189	0.91824	0.27972	0.94792	0.35849	0.84383
CTPS1	6	-0.36038	-0.47313	0.32917	0.95328	0.63612	0.87168
WDR4	6	0.16164	0.25886	0.89151	0.99682	0.79574	0.92249
TMEM174	6	-0.51003	-0.93815	0.22266	0.94021	0.34817	0.84383
C13orf35	6	0.14864	0.36113	0.87395	0.99682	0.718	0.89702
CYP3A5	5	-0.018047	-0.030333	0.70378	0.99682	0.9758	0.99083
C1orf173	6	0.18312	0.25864	0.92326	0.99747	0.79592	0.92255
SEMA7A	6	-0.7624	-2.0334	0.10697	0.90965	0.042013	0.84383
TMEM60	6	1.8778	0.81179	0.014334	0.68094	0.41691	0.84383
TTC25	6	-0.021674	-0.051111	0.66272	0.99682	0.95924	0.9837
GSC	6	-0.51106	-0.73824	0.22174	0.94021	0.46037	0.84383
GEMIN2	6	0.06229	0.087373	0.75951	0.99682	0.93037	0.97257
C9orf84	6	0.72139	0.84738	0.40946	0.9768	0.39678	0.84383
IRF2BP2	6	0.088354	0.15092	0.79324	0.99682	0.88004	0.95459
EXT2	6	-0.24687	-0.62864	0.42605	0.98051	0.52958	0.84669
FOXH1	6	0.10555	0.14408	0.81629	0.99682	0.88544	0.95643
TM6SF2	6	0.35998	0.71441	0.83039	0.99682	0.47497	0.84383
CPAMD8	6	-0.25907	-0.61222	0.41499	0.97893	0.54039	0.84892
PHF2	6	-0.63944	-0.69318	0.15555	0.92898	0.4882	0.84383
NGFRAP1	6	0.88951	1.0622	0.27511	0.94792	0.28814	0.84383
MSANTD3	6	1.0306	1.107	0.19362	0.93708	0.26827	0.84383
ST8SIA2	6	0.23015	0.44374	0.98963	0.99944	0.65723	0.87715
ATP10D	6	0.98886	1.0149	0.21607	0.94021	0.31015	0.84383
FAIM	6	-0.46506	-1.0254	0.25234	0.94315	0.30519	0.84383
SFTPA2	6	1.1672	0.59126	0.132	0.91583	0.55435	0.85156
GAL3ST4	6	0.28485	0.4811	0.93285	0.99751	0.63044	0.87023
NRG3	6	0.53326	1.0253	0.60594	0.99078	0.30523	0.84383
HINT2	6	0.23344	0.69101	0.99447	0.99944	0.48956	0.84383
PRDM8	6	0.78409	0.85151	0.35327	0.96187	0.39449	0.84383
TPPP	6	-0.26884	-0.67961	0.40623	0.97609	0.49675	0.84383
CIB3	6	-0.36957	-0.98396	0.32161	0.95199	0.32514	0.84383
TMEM246	6	0.05178	0.11164	0.74586	0.99682	0.91111	0.96481
ATG2A	6	0.34909	0.73614	0.84519	0.99682	0.46164	0.84383
TXNDC8	6	-0.10781	-0.28927	0.56662	0.98944	0.77237	0.91458
WHAMM	6	1.4278	0.99443	0.060377	0.83185	0.32001	0.84383
hsa-mir-195	4	-0.72672	-1.0702	0.2068	0.94021	0.28454	0.84383
ZNF844	6	0.004505	0.014628	0.69272	0.99682	0.98833	0.99587
NPBWR2	6	0.28471	0.43722	0.93299	0.99751	0.66195	0.87894
ADAM12	6	1.1041	1.1553	0.15735	0.92898	0.24797	0.84383
PPBP	6	0.57071	1.2516	0.56367	0.98944	0.21072	0.84383
NonTargetingControlGuideForHuman_0062	1	-0.45273	-0.73779	0.6835	0.99682	0.46065	0.84383
DOK4	6	0.97424	1.2792	0.22418	0.94021	0.20083	0.84383
NUDT13	6	-0.45266	-0.89149	0.25971	0.94696	0.37267	0.84383
LRRC37A	6	0.31411	0.59612	0.89137	0.99682	0.55109	0.8503
ABCB1	6	-0.088425	-0.18547	0.58847	0.99026	0.85286	0.94393
hsa-mir-6744	4	-0.10501	-0.2852	0.65857	0.99658	0.77549	0.91502
SOX5	6	-0.045017	-0.10471	0.63557	0.99299	0.91661	0.96711
SGOL2	6	0.7546	1.1641	0.37876	0.96858	0.24437	0.84383
hsa-mir-8055	4	1.2279	0.89561	0.20215	0.94021	0.37046	0.84383
PLCXD3	6	0.43612	0.80608	0.72913	0.99682	0.42019	0.84383
IL9R_X	6	0.42194	1.0031	0.74973	0.99682	0.31581	0.84383
SLC26A4	6	1.569	0.9993	0.039314	0.80106	0.31765	0.84383
hsa-mir-759	4	0.4728	0.64727	0.72835	0.99682	0.51745	0.84562
DNAI2	6	0.27868	0.51965	0.94078	0.99751	0.60331	0.86037
ZNF319	6	0.73745	0.78378	0.39397	0.9734	0.43317	0.84383
TMEM260	6	1.2854	1.1068	0.093654	0.8922	0.26839	0.84383
PPP4R2	6	1.3572	0.807	0.075586	0.86261	0.41967	0.84383
OSGEPL1	6	0.92669	1.2854	0.25169	0.94254	0.19864	0.84383
FUK	6	0.12639	0.34592	0.84302	0.99682	0.7294	0.90198
hsa-mir-361	4	-0.36273	-0.70896	0.43227	0.98153	0.47835	0.84383
PTPN21	6	1.3666	0.91089	0.073512	0.86044	0.36235	0.84383
CBFB	6	-0.040481	-0.071981	0.64037	0.99328	0.94262	0.97716
OR2T29	6	0.70467	0.81931	0.42545	0.98014	0.41261	0.84383
NonTargetingControlGuideForHuman_0877	1	0.35053	0.27487	0.93349	0.99751	0.78342	0.91751
hsa-mir-597	4	1.6554	0.82459	0.079043	0.86268	0.40961	0.84383
C6orf48	6	0.11162	0.28014	0.82398	0.99682	0.77937	0.91648
ZNF136	6	0.16419	0.53683	0.8951	0.99682	0.59138	0.85876
GJA9	6	1.1632	0.94389	0.13343	0.91583	0.34523	0.84383
HIST1H2BN	6	-0.070074	-0.22006	0.60838	0.99078	0.82583	0.934
NIPA1	6	1.1473	0.8913	0.13997	0.92546	0.37277	0.84383
MRPS18B	6	0.77256	1.001	0.36291	0.9652	0.31682	0.84383
HS2ST1	6	0.14269	0.39876	0.8656	0.99682	0.69007	0.88778
CRIPT	6	-0.099764	-0.1792	0.57584	0.98944	0.85778	0.94569
LHX6	6	-0.24951	-0.76963	0.42365	0.98014	0.44152	0.84383
NHP2L1	6	0.68778	0.92796	0.44292	0.98346	0.35343	0.84383
BRSK1	6	0.33371	0.94447	0.86399	0.99682	0.34493	0.84383
hsa-mir-4277	4	0.83455	0.68398	0.42434	0.98014	0.49398	0.84383
LRRC7	6	0.47484	0.85839	0.67899	0.99682	0.39067	0.84383
MTG1	6	1.0236	0.7462	0.19694	0.93708	0.45555	0.84383
PAQR3	6	2.7611	0.55322	0.0011983	0.375	0.58011	0.85641
hsa-mir-326	4	0.52555	0.73569	0.68171	0.99682	0.46192	0.84383
LYZL1	6	0.39467	0.74598	0.78449	0.99682	0.45568	0.84383
MMP16	6	0.19433	0.41839	0.93958	0.99751	0.67566	0.88319
KRTAP4-7	6	-0.77572	-1.7734	0.10163	0.90484	0.076164	0.84383
HIST1H2AD	6	0.42367	0.73917	0.74752	0.99682	0.45981	0.84383
TMEM88B	6	0.81	1.1795	0.33194	0.95568	0.23818	0.84383
MMP26	6	0.03252	0.043616	0.72466	0.99682	0.96521	0.98553
GBX2	6	0.34628	0.52718	0.84878	0.99682	0.59807	0.86001
ZCRB1	6	0.60785	0.53892	0.52519	0.98798	0.58994	0.85854
PDLIM7	6	-0.59399	-1.0712	0.17588	0.93462	0.28408	0.84383
BIN3	6	-0.59289	-1.7356	0.17657	0.93462	0.082631	0.84383
WAC	6	1.4532	0.66341	0.055307	0.82702	0.50707	0.84469
SPPL2B	6	0.69716	1.0228	0.43338	0.98153	0.3064	0.84383
UBXN7	6	0.80172	0.96221	0.33848	0.95579	0.33595	0.84383
SYNGR1	6	0.68933	1.1861	0.44135	0.98346	0.23557	0.84383
SSH2	6	0.31208	0.57998	0.89418	0.99682	0.56193	0.85296
LCA5L	6	0.65866	0.89576	0.47191	0.98674	0.37038	0.84383
hsa-mir-8071-1	4	0.54152	0.70455	0.66811	0.99682	0.48109	0.84383
EDC4	6	0.44006	0.93902	0.72346	0.99682	0.34772	0.84383
TCEB3B	6	0.93587	1.2198	0.24662	0.9415	0.22254	0.84383
CRY2	6	-0.49592	-1.1725	0.23224	0.9415	0.24101	0.84383
YKT6	6	-0.19796	-0.36978	0.47306	0.98674	0.71155	0.89519
CA13	6	0.058566	0.22089	0.7543	0.99682	0.82518	0.934
NOD1	6	0.063532	0.22315	0.76029	0.99682	0.82342	0.9333
INHBA	6	-1.0978	-1.1765	0.034844	0.7907	0.23941	0.84383
ATP6V1C2	6	0.38287	0.80182	0.7997	0.99682	0.42265	0.84383
SULT2B1	6	-0.017298	-0.051999	0.66737	0.99682	0.95853	0.9836
GORASP2	6	0.14105	0.33204	0.8633	0.99682	0.73986	0.90505
ANXA5	6	0.13686	0.29506	0.85754	0.99682	0.76795	0.9137
TEX101	6	0.25253	0.49736	0.97903	0.99944	0.61893	0.86674
METTL21B	6	0.83997	0.89166	0.30954	0.95153	0.37258	0.84383
ZNF30	6	0.26744	0.52208	0.95852	0.9989	0.60162	0.86034
ID3	6	-0.2827	-0.44957	0.3936	0.9734	0.65302	0.8759
MSGN1	6	0.45789	0.75425	0.70236	0.99682	0.4507	0.84383
SERPINA1	6	0.80434	1.1342	0.33664	0.95579	0.25673	0.84383
GORAB	6	0.91902	1.3489	0.2569	0.94611	0.17738	0.84383
ZPBP2	6	-0.1492	-0.32819	0.52233	0.98798	0.74277	0.90588
hsa-mir-5189	4	0.75035	1.0365	0.48859	0.98755	0.29997	0.84383
NonTargetingControlGuideForHuman_0180	1	0.23881	0.62369	0.98945	0.99944	0.53283	0.84714
PTPRJ	6	-0.18526	-0.56002	0.48615	0.98755	0.57547	0.85595
PIGU	6	-0.42114	-0.9879	0.28363	0.94792	0.3232	0.84383
ADAM17	6	0.71334	1.1832	0.41702	0.97893	0.23675	0.84383
LRRC33	5	-0.18585	-0.48527	0.5268	0.98798	0.62749	0.86954
NonTargetingControlGuideForHuman_0906	1	-0.98492	-1.316	0.46854	0.98652	0.18817	0.84383
