id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
TRMT10B	12	0.26019	0.54808	0.997892	11459	5	-0.019749	0.19824	0.47174	0.99554	9896	5	-0.019749
COA5	12	0.26023	0.54814	0.997892	11460	3	0.082452	0.088772	0.28173	0.976268	6014	5	0.082452
GBGT1	12	0.26026	0.54816	0.997892	11461	5	-0.14779	0.09827	0.30403	0.979461	6480	2	-0.14779
EXD2	12	0.26028	0.54819	0.997892	11462	4	-0.086261	0.47697	0.75834	0.999761	15916	2	-0.086261
RBM18	11	0.26028	0.53629	0.997892	11463	4	0.11698	0.026692	0.11118	0.974277	2395	5	0.11698
HIPK4	12	0.26034	0.54825	0.997892	11464	5	0.042168	0.60891	0.83735	0.999761	17694	4	0.042168
GPN2	12	0.26035	0.54826	0.997892	11465	4	-0.26374	0.79351	0.92387	0.999761	19705	2	-0.26374
WDR83OS	12	0.26048	0.5484	0.997892	11466	4	0.21883	0.14439	0.38603	0.987437	8193	6	0.21883
UCN	12	0.26058	0.54851	0.997892	11467	4	-0.12359	0.17779	0.44012	0.994106	9263	5	-0.12359
HLTF	12	0.26067	0.54861	0.997892	11468	3	0.12073	0.0084346	0.045606	0.966402	971	3	0.12073
TICRR	12	0.26077	0.54873	0.997892	11469	5	0.094915	0.37356	0.66911	0.999761	14022	4	0.094915
hsa-mir-188	8	0.26079	0.50311	0.997892	11470	4	-0.063927	0.22034	0.45282	0.994106	10526	3	-0.063927
PARP8	12	0.26081	0.54877	0.997892	11471	5	0.18207	0.15948	0.41081	0.992084	8670	5	0.18207
LAMP2	12	0.26085	0.54881	0.997892	11472	3	0.026958	0.64856	0.86088	0.999761	18202	2	0.026958
AMTN	12	0.26086	0.54882	0.997892	11473	5	0.0056406	0.15313	0.40052	0.990014	8475	6	0.0056406
CDH18	12	0.26087	0.54884	0.997892	11474	4	0.12358	0.38279	0.67793	0.999761	14215	5	0.12358
CSTF3	12	0.26094	0.54891	0.997892	11475	3	0.10962	0.4421	0.73278	0.999761	15341	4	0.10962
INTS5	12	0.26104	0.54902	0.997892	11476	5	-0.09808	0.65914	0.86708	0.999761	18331	4	-0.09808
TMEM181	12	0.26111	0.5491	0.997892	11477	4	0.031953	0.008379	0.045386	0.966402	969	5	0.031953
RMND5B	12	0.26113	0.54912	0.997892	11478	5	-0.14108	0.22548	0.51263	0.999761	10675	3	-0.14108
hsa-mir-1275	8	0.26115	0.50357	0.997892	11479	3	-0.096762	0.33748	0.59271	0.999761	13232	3	-0.096762
SYNDIG1L	12	0.26116	0.54914	0.997892	11480	4	0.061907	0.27425	0.57084	0.999761	11868	5	0.061907
LRRC66	12	0.26124	0.54924	0.997892	11481	5	-0.16161	0.1016	0.31161	0.979461	6624	4	-0.16161
hsa-mir-6750	8	0.26125	0.50371	0.997892	11482	3	-0.052254	0.22257	0.45567	0.994106	10588	2	-0.052254
IQSEC1	12	0.26127	0.54928	0.997892	11483	4	0.010586	0.087483	0.27871	0.976268	5956	5	0.010586
KCNMA1	12	0.26128	0.5493	0.997892	11484	3	0.02577	0.27315	0.5697	0.999761	11841	5	0.02577
IFT52	12	0.2613	0.54932	0.997892	11485	2	0.24542	0.086334	0.27596	0.976268	5894	7	0.24542
GNL3L	12	0.26132	0.54934	0.997892	11486	5	0.36813	0.032942	0.13732	0.974277	2866	7	0.36813
PMPCA	12	0.26136	0.54939	0.997892	11487	5	0.0056486	0.68464	0.882	0.999761	18655	3	0.0056486
RHBDD3	12	0.26137	0.5494	0.997892	11488	4	-0.060819	0.00045263	0.0034496	0.843981	82	5	-0.060819
PTTG1	12	0.26144	0.54949	0.997892	11489	5	-0.099861	0.9967	0.99671	0.999761	21625	0	-0.099861
CCDC117	12	0.26156	0.54962	0.997892	11490	5	-0.11726	0.71431	0.89381	0.999761	18945	3	-0.11726
hsa-mir-548a-2	8	0.26156	0.50409	0.997892	11491	3	-0.0019547	0.21646	0.44778	0.994106	10428	2	-0.0019547
QPCTL	12	0.26157	0.54963	0.997892	11492	4	-0.11647	0.09449	0.29526	0.979461	6300	4	-0.11647
TNXB	10	0.26186	0.534	0.997892	11493	3	0.25073	0.090902	0.2714	0.975897	6124	6	0.25073
hsa-mir-449b	8	0.26193	0.50458	0.997892	11494	4	-0.15139	0.63069	0.80992	0.999761	17991	2	-0.15139
SOWAHD	12	0.26207	0.55019	0.997892	11495	4	0.14537	0.30804	0.60513	0.999761	12607	5	0.14537
TXNL4B	12	0.26212	0.55024	0.997892	11496	3	-0.10989	0.57507	0.81714	0.999761	17235	4	-0.10989
CCDC147	12	0.26216	0.55029	0.997892	11497	4	-0.014706	0.41864	0.71146	0.999761	14918	4	-0.014706
MCTS1	12	0.26221	0.55034	0.997892	11498	4	0.32993	0.049779	0.18404	0.974277	3870	6	0.32993
NAV3	12	0.26221	0.55034	0.997892	11499	5	-0.011573	0.84705	0.94607	0.999761	20276	3	-0.011573
USP30	12	0.26223	0.55035	0.997892	11500	5	0.18091	0.075806	0.25063	0.975028	5343	7	0.18091
GCC1	12	0.26225	0.55037	0.997892	11501	5	-0.1555	0.83491	0.94083	0.999761	20133	1	-0.1555
TK2	12	0.26235	0.55048	0.997892	11502	5	-0.048832	0.13151	0.36439	0.984063	7736	1	-0.048832
