id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
MMP7	6	0.022694	0.080725	0.957951	1715	4	-1.8085	0.39372	0.6136	0.997138	12541	2	-1.8085
FOLR3	6	0.022694	0.080725	0.957951	1716	4	-2.1387	0.10583	0.26087	0.994432	5323	2	-2.1387
PHB2	2	0.02273	0.041982	0.912031	1717	2	-3.2161	0.97727	0.97746	0.999997	21150	0	-3.2161
DNMT3L	6	0.02273	0.080858	0.958715	1718	4	-1.8465	0.52665	0.70737	0.997777	14777	2	-1.8465
HORMAD1	4	0.022751	0.069246	0.942567	1719	3	-3.0331	0.96245	0.96239	0.999997	20808	0	-3.0331
DYRK4	6	0.022759	0.080954	0.958788	1720	4	-1.7244	0.47318	0.67599	0.997138	13986	2	-1.7244
RBPMS	6	0.022773	0.080997	0.958788	1721	3	-0.54594	0.93236	0.9342	0.999997	20222	1	-0.54594
UHMK1	6	0.022773	0.080997	0.958788	1722	2	0.49512	0.27852	0.49198	0.997138	10085	3	0.49512
OR8J3	6	0.02282	0.081134	0.959891	1723	4	-2.2248	0.43008	0.65062	0.997138	13332	1	-2.2248
HSPA5	5	0.022832	0.072677	0.948267	1724	3	-1.1257	0.11224	0.25663	0.993881	5556	2	-1.1257
MDK	6	0.022882	0.081349	0.960852	1725	5	-1.0438	0.9918	0.99181	0.999997	21457	0	-1.0438
GALNT6	6	0.022908	0.081439	0.960852	1726	5	-1.8497	0.97039	0.9704	0.999997	20993	0	-1.8497
COMTD1	6	0.022921	0.081479	0.960852	1727	5	-1.0527	0.038506	0.12626	0.991008	2543	1	-1.0527
IER5	6	0.022935	0.081522	0.960852	1728	4	-1.7032	0.95955	0.95951	0.999997	20741	0	-1.7032
NAA50	5	0.022961	0.073068	0.94997	1729	3	-2.0026	0.86675	0.87495	0.999997	19177	1	-2.0026
NDUFAF5	5	0.022961	0.073068	0.94997	1730	3	-2.4445	0.053205	0.14862	0.993881	3193	2	-2.4445
RALGAPA1	6	0.022976	0.081654	0.960852	1731	5	-1.1553	0.92061	0.92542	0.999997	19978	1	-1.1553
MBTPS2	6	0.023001	0.081734	0.960852	1732	5	-1.5206	0.84261	0.88472	0.999997	18846	1	-1.5206
MEX3B	6	0.023083	0.081976	0.960852	1733	4	-1.8257	0.77028	0.8604	0.999997	18180	1	-1.8257
CNEP1R1	6	0.023103	0.082042	0.960852	1734	4	-1.8047	0.56286	0.72921	0.999509	15273	1	-1.8047
AADAT	6	0.023113	0.082078	0.960852	1735	4	-1.7861	0.79422	0.86761	0.999997	18386	1	-1.7861
TEX101	6	0.023136	0.082153	0.960852	1736	2	0.93701	0.25993	0.47178	0.997138	9619	3	0.93701
POU4F3	6	0.023136	0.082153	0.960852	1737	3	-0.056294	0.014236	0.053894	0.973857	1114	3	-0.056294
CORO7-PAM16	6	0.023136	0.082153	0.960852	1738	3	-0.60228	0.41248	0.63277	0.997138	12968	3	-0.60228
NKX2-3	6	0.023136	0.082153	0.960852	1739	2	-0.20886	0.88274	0.90284	0.999997	19391	1	-0.20886
TNFRSF1A	6	0.023166	0.082235	0.960852	1740	3	-1.051	0.45994	0.6685	0.997138	13795	1	-1.051
CCDC157	6	0.023166	0.082235	0.960852	1741	3	-1.4384	0.96717	0.96717	0.999997	20926	0	-1.4384
CELSR3	6	0.023166	0.082235	0.960852	1742	3	0.06202	0.3412	0.55895	0.997138	11429	3	0.06202
PELO	3	0.023257	0.059403	0.93741	1743	2	-3.0083	0.55684	0.60236	0.997138	15197	1	-3.0083
VPREB1	6	0.023261	0.082539	0.962778	1744	4	-1.7899	0.22295	0.43097	0.997138	8732	2	-1.7899
TRPM2	6	0.023276	0.082577	0.962778	1745	5	-1.5084	0.98657	0.98663	0.999997	21343	0	-1.5084
POLR3E	6	0.023276	0.082577	0.962778	1746	5	-1.1509	0.9715	0.97155	0.999997	21018	0	-1.1509
PAF1	5	0.023289	0.07392	0.952555	1747	4	-2.1557	0.41483	0.5932	0.997138	13014	1	-2.1557
KCNS2	6	0.023368	0.082882	0.963834	1748	4	-1.5225	0.69148	0.81326	0.999997	17147	2	-1.5225
hsa-mir-5195	4	0.023395	0.070554	0.94462	1749	3	-2.2413	0.97142	0.9714	0.999997	21016	0	-2.2413
hsa-mir-6739	4	0.023395	0.070554	0.94462	1750	2	-1.3765	0.41104	0.56155	0.997138	12922	2	-1.3765
UCP2	6	0.023443	0.083129	0.963834	1751	4	-1.9853	0.47231	0.6755	0.997138	13972	2	-1.9853
TRA2B	6	0.02346	0.083179	0.963834	1752	4	-1.8427	0.29928	0.5143	0.997138	10543	2	-1.8427
TMX4	6	0.023462	0.083193	0.963834	1753	5	-1.4107	0.98971	0.98978	0.999997	21408	0	-1.4107
BTN2A2	5	0.023481	0.074424	0.952555	1754	3	-2.4649	0.24861	0.44408	0.997138	9343	2	-2.4649
CCDC122	6	0.023482	0.083252	0.963834	1755	3	-0.089178	0.1838	0.38722	0.997138	7834	3	-0.089178
KIAA0319	6	0.0235	0.083303	0.963834	1756	3	0.17688	0.028901	0.099879	0.979379	2031	3	0.17688
HNRPLL	4	0.023522	0.070797	0.94462	1757	1	0.12635	0.45503	0.60383	0.997138	13718	1	0.12635
CLRN1	6	0.023524	0.083379	0.963834	1758	1	-0.056283	0.3602	0.57874	0.997138	11825	2	-0.056283
CD5	6	0.023524	0.083379	0.963834	1759	2	-0.15215	0.9727	0.97275	0.999997	21045	0	-0.15215
MAP4K3	6	0.023524	0.083379	0.963834	1760	2	-0.25908	0.92954	0.93201	0.999997	20159	1	-0.25908
PIPOX	6	0.023524	0.083379	0.963834	1761	2	1.1192	0.21093	0.4177	0.997138	8456	3	1.1192
SHISA3	6	0.023582	0.083562	0.96508	1762	4	-2.3307	0.85025	0.88784	0.999997	18947	1	-2.3307
CHRD	6	0.023622	0.083688	0.96508	1763	3	-0.069437	0.42657	0.64706	0.997138	13247	3	-0.069437
TANGO6	6	0.023636	0.083726	0.96508	1764	3	-0.69648	0.61301	0.76084	0.999509	16031	2	-0.69648
OR2A4	6	0.023648	0.083757	0.96508	1765	5	-1.0822	0.66038	0.79188	0.999997	16711	1	-1.0822
YEATS4	6	0.02368	0.083853	0.96508	1766	2	0.48766	0.56579	0.73103	0.999509	15319	2	0.48766
SH3KBP1	5	0.023689	0.074953	0.952555	1767	2	0.81064	0.29458	0.50291	0.997138	10428	3	0.81064
OGT	6	0.023735	0.084024	0.96508	1768	3	-1.5437	0.80515	0.8711	0.999997	18481	1	-1.5437
IKBKE	6	0.023796	0.084202	0.96508	1769	4	-1.869	0.013063	0.050088	0.973673	1035	2	-1.869
MCCC2	6	0.023816	0.08426	0.96508	1770	4	-1.7638	0.95554	0.95557	0.999997	20663	0	-1.7638
YBEY	3	0.023847	0.060812	0.93741	1771	2	-2.9291	0.92776	0.92783	0.999997	20120	0	-2.9291
hsa-mir-3179-3	3	0.02386	0.060843	0.93741	1772	2	-3.4481	0.36558	0.4941	0.997138	11929	1	-3.4481
ZNF565	6	0.023872	0.084447	0.96508	1773	5	-1.2831	0.26987	0.48264	0.997138	9883	1	-1.2831
SLC39A1	6	0.023927	0.084611	0.96508	1774	3	-1.7931	0.42592	0.64642	0.997138	13235	2	-1.7931
ZFPL1	6	0.023951	0.084696	0.96508	1775	3	-1.1334	0.9477	0.94785	0.999997	20498	1	-1.1334
PDXP	6	0.023956	0.084716	0.96508	1776	3	-1.7341	0.39054	0.61032	0.997138	12455	2	-1.7341
CEP350	6	0.024016	0.084906	0.96508	1777	3	0.059253	0.27573	0.48896	0.997138	10027	3	0.059253
LRRC37A	6	0.024016	0.084906	0.96508	1778	4	-1.7594	0.3709	0.58989	0.997138	12024	2	-1.7594
DLGAP2	6	0.024016	0.084906	0.96508	1779	4	-2.1813	0.9169	0.92284	0.999997	19915	1	-2.1813
SPAG9	6	0.024016	0.084906	0.96508	1780	4	-1.4957	0.56424	0.73006	0.999509	15294	1	-1.4957
CORO6	6	0.024016	0.084906	0.96508	1781	3	-0.56393	0.98251	0.98268	0.999997	21254	0	-0.56393
BAHCC1	6	0.024016	0.084906	0.96508	1782	3	-0.44069	0.41273	0.63303	0.997138	12974	3	-0.44069
CDH4	5	0.024043	0.075881	0.952555	1783	4	-1.323	0.71319	0.798	0.999997	17451	1	-1.323
MTMR9	5	0.024091	0.076002	0.952555	1784	3	-2.1279	0.9396	0.9398	0.999997	20340	0	-2.1279
DIP2B	5	0.02412	0.076073	0.952555	1785	4	-1.436	0.65009	0.77581	0.999997	16555	1	-1.436
TNRC6C	6	0.02412	0.085225	0.96508	1786	3	-0.10581	0.72276	0.83519	0.999997	17584	2	-0.10581
C3orf30	6	0.02412	0.085225	0.96508	1787	2	0.59958	0.42785	0.64838	0.997138	13277	3	0.59958
HES4	6	0.02412	0.085225	0.96508	1788	4	-1.4921	0.40316	0.6233	0.997138	12752	1	-1.4921
ANKRD30B	6	0.02412	0.085225	0.96508	1789	2	-0.14356	0.05597	0.16326	0.993881	3325	2	-0.14356
PTGS1	6	0.024125	0.085237	0.96508	1790	4	-1.8855	0.54203	0.71668	0.998899	14996	2	-1.8855
MAK16	6	0.024184	0.085416	0.96508	1791	3	-0.95767	0.18857	0.39262	0.997138	7954	3	-0.95767
NUP107	6	0.024191	0.085432	0.96508	1792	4	-2.3045	0.94405	0.94433	0.999997	20433	1	-2.3045
OPTN	6	0.024193	0.085442	0.96508	1793	5	-1.3949	0.75124	0.85499	0.999997	17994	1	-1.3949
DCTN5	5	0.024249	0.076426	0.952555	1794	4	-1.5363	0.82585	0.84944	0.999997	18684	1	-1.5363
EREG	6	0.024281	0.0857	0.96508	1795	4	-1.7799	0.30782	0.52346	0.997138	10707	1	-1.7799
IFFO2	6	0.024301	0.085764	0.96508	1796	2	1.044	0.14432	0.33066	0.996907	6700	3	1.044
LGALS3	5	0.024316	0.076584	0.952555	1797	2	0.91921	0.26386	0.46375	0.997138	9721	3	0.91921
PRKCSH	5	0.024316	0.076584	0.952555	1798	1	1.1282	0.2136	0.39797	0.997138	8510	3	1.1282
SCRIB	5	0.024316	0.076584	0.952555	1799	1	1.7195	0.10812	0.25059	0.993881	5402	3	1.7195
ATP5E	3	0.02434	0.061968	0.93741	1800	2	-3.2316	0.57644	0.61519	0.997138	15465	1	-3.2316
RPL29	6	0.024359	0.085934	0.96508	1801	4	-1.7248	0.97771	0.97784	0.999997	21162	0	-1.7248
CARD8	6	0.024375	0.085987	0.96508	1802	2	-0.41715	0.4421	0.65851	0.997138	13516	2	-0.41715
MCC	6	0.024408	0.086087	0.96508	1803	5	-1.8246	0.9738	0.97389	0.999997	21072	0	-1.8246
HIST1H4K	1	0.024423	0.024324	0.898612	1804	1	-5.249	0.97558	0.97559	0.999997	21113	0	-5.249
ATXN3L	6	0.024433	0.086166	0.96508	1805	4	-2.2321	0.99043	0.99047	0.999997	21424	0	-2.2321
RPA3	4	0.024434	0.07269	0.948267	1806	3	-2.1598	0.86372	0.86347	0.999997	19148	0	-2.1598
CLDN7	6	0.024444	0.086195	0.96508	1807	5	-1.5519	0.83912	0.88333	0.999997	18812	1	-1.5519
SLC22A14	6	0.02446	0.086253	0.96508	1808	5	-1.5866	0.39309	0.61297	0.997138	12522	1	-1.5866
MAN2B1	6	0.024464	0.08627	0.96508	1809	5	-1.868	0.55839	0.72651	0.999509	15216	1	-1.868
HCFC1	4	0.024467	0.072755	0.948267	1810	3	-2.1073	0.62617	0.70481	0.997138	16214	1	-2.1073
YIPF1	6	0.024469	0.086285	0.96508	1811	5	-1.1841	0.96618	0.9662	0.999997	20901	0	-1.1841
SF3B5	4	0.024473	0.072762	0.948267	1812	1	0.54036	0.18327	0.34396	0.997138	7825	2	0.54036
DIMT1	5	0.024482	0.077014	0.952555	1813	3	-2.5651	0.44101	0.6127	0.997138	13505	2	-2.5651
DNAJC5G	5	0.024536	0.077154	0.952555	1814	3	-0.59911	0.93878	0.93898	0.999997	20330	0	-0.59911
GNG11	5	0.024536	0.077154	0.952555	1815	3	-1.7481	0.32842	0.52948	0.997138	11159	2	-1.7481
PCBD1	6	0.02455	0.086553	0.96508	1816	2	-0.08444	0.93069	0.93286	0.999997	20184	1	-0.08444
hsa-mir-3678	4	0.024553	0.072924	0.949808	1817	3	-2.7015	0.95407	0.95392	0.999997	20625	0	-2.7015
CKAP4	6	0.024555	0.086564	0.96508	1818	4	-1.7596	0.17548	0.37781	0.997138	7655	2	-1.7596
