preferredName_A,preferredName_B,score
IFNGR1,JAK1,0.999
JAK2,IFNGR2,0.999
STAT1,IFNGR1,0.999
IRF1,STAT1,0.999
JAK2,JAK1,0.999
IFNGR1,IFNGR2,0.999
STAT1,JAK2,0.999
STAT1,JAK1,0.999
IFNGR1,JAK2,0.999
IFNGR2,JAK1,0.998
STAT1,IFNGR2,0.912
IFITM1,STAT1,0.845
TAP1,STAT1,0.831
IRF1,TAP1,0.821
IRF1,JAK1,0.789
IRF1,IFNGR1,0.671
IRF1,JAK2,0.668
IRF1,IFNGR2,0.642
IRF1,IFITM1,0.627
IFITM1,TAP1,0.524
