Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
C7orf63	6	-0.060841	-0.64727	0.5875	0.99224	0.51746	0.99998
HSDL1	6	0.07684	0.54796	0.52118	0.99224	0.58372	0.99998
DOCK5	6	0.045005	0.30382	0.71116	0.99224	0.76126	0.99998
KCNS3	6	-0.099872	-0.93386	0.38397	0.99224	0.35038	0.99998
ARPC4-TTLL3	3	-0.23677	-1.167	0.16085	0.96379	0.24322	0.99998
ZFP37	6	0.22491	1.1241	0.063419	0.94089	0.26096	0.99998
G2E3	6	-0.046719	-0.2968	0.67355	0.99224	0.76662	0.99998
ITPA	6	0.19129	1.5816	0.11034	0.95024	0.11373	0.99998
GJB1	6	0.16631	1.1903	0.16352	0.96379	0.23394	0.99998
MAGI1	6	-0.24451	-1.4381	0.040743	0.87926	0.15041	0.99998
ITCH	6	-0.22307	-1.5603	0.0607	0.94089	0.1187	0.99998
BARD1	6	-0.028085	-0.17511	0.79338	0.99256	0.861	0.99998
DARC	6	0.36275	2.2183	0.0047011	0.75	0.026533	0.99998
ARMC8	6	-0.25947	-2.2721	0.03088	0.87073	0.02308	0.99998
KCNK4	6	-0.012491	-0.1729	0.8992	0.99432	0.86273	0.99998
BAI3	6	-0.063286	-0.53743	0.57441	0.99224	0.59097	0.99998
hsa-mir-1258	4	0.031887	0.23191	0.83721	0.99256	0.81661	0.99998
COL21A1	6	0.093908	0.8227	0.43006	0.99224	0.41068	0.99998
ANO9	6	-0.15681	-1.2127	0.17671	0.9666	0.22526	0.99998
PAF1	6	-0.0032791	-0.033634	0.96373	0.99752	0.97317	0.99998
GHRL	6	-0.11477	-0.80494	0.31779	0.99224	0.42085	0.99998
DACT3	6	0.027069	0.20816	0.82947	0.99256	0.83511	0.99998
hsa-mir-6855	4	-0.24167	-1.2735	0.10112	0.95024	0.20285	0.99998
PRPS1L1	6	0.0621	0.53755	0.60709	0.99224	0.59089	0.99998
UGGT2	6	0.019086	0.18333	0.88118	0.99353	0.85454	0.99998
KISS1R	6	0.024853	0.17966	0.84519	0.99256	0.85742	0.99998
JUP	6	-0.11189	-0.89187	0.32972	0.99224	0.37246	0.99998
UBA7	6	0.088901	0.73424	0.4549	0.99224	0.4628	0.99998
OR5K4	6	-0.089355	-0.92534	0.4355	0.99224	0.35479	0.99998
KIAA0355	6	-0.014525	-0.13986	0.88385	0.99353	0.88877	0.99998
RPA1	6	-0.25922	-1.2403	0.031018	0.87073	0.21487	0.99998
AGAP2	6	0.1827	1.1337	0.12605	0.95061	0.25691	0.99998
LPPR2	6	0.041295	0.23298	0.73559	0.99256	0.81577	0.99998
THAP9	6	-0.039969	-0.45762	0.71411	0.99231	0.64723	0.99998
FAM199X	6	0.00828	0.087315	0.95423	0.99736	0.93042	0.99998
ARSG	6	0.054178	0.42773	0.65608	0.99224	0.66885	0.99998
LRRC59	6	-0.039065	-0.33145	0.7201	0.99256	0.74031	0.99998
BTG4	6	-0.11442	-0.96125	0.31954	0.99224	0.33643	0.99998
TMEM150C	6	0.20615	1.0638	0.086878	0.94393	0.28742	0.99998
GRIK3	6	-0.074659	-0.54112	0.50993	0.99224	0.58843	0.99998
BASP1	6	-0.027164	-0.32237	0.79882	0.99256	0.74717	0.99998
hsa-mir-548aa-2	4	-0.055056	-0.34045	0.68701	0.99224	0.73351	0.99998
KLHL7	6	0.18393	1.0635	0.12366	0.95061	0.28758	0.99998
hsa-mir-1277	4	-0.13496	-0.45777	0.34742	0.99224	0.64712	0.99998
GPER	6	-0.040262	-0.32109	0.71231	0.99224	0.74814	0.99998
KLLN	6	-0.08206	-0.61561	0.47034	0.99224	0.53815	0.99998
FOXR1	6	-0.03468	-0.38521	0.75098	0.99256	0.70008	0.99998
TMEM79	6	0.17024	1.1569	0.15334	0.96379	0.24732	0.99998
SAMD13	6	0.075502	0.62334	0.52869	0.99224	0.53306	0.99998
hsa-mir-509-1	4	-0.15391	-1.9873	0.2858	0.99224	0.046887	0.99998
EPB41L4A	6	0.029781	0.14226	0.81113	0.99256	0.88687	0.99998
USP17L3	4	-0.033995	-0.26347	0.79744	0.99256	0.79219	0.99998
CLN3	6	0.14165	1.1521	0.23542	0.98383	0.24929	0.99998
PRR22	6	0.11316	0.92125	0.3418	0.99224	0.35692	0.99998
SMYD2	6	0.12287	1.0074	0.30235	0.99224	0.31374	0.99998
UNC13B	6	-0.058066	-0.37555	0.60442	0.99224	0.70725	0.99998
PRR3	6	0.21358	1.3025	0.076647	0.94089	0.19274	0.99998
CLEC11A	6	0.010546	0.067115	0.93879	0.99638	0.94649	0.99998
OR51B6	6	-0.24768	-2.0584	0.038392	0.87073	0.039555	0.99998
TM2D1	6	0.1169	0.66946	0.32627	0.99224	0.5032	0.99998
MANSC1	6	0.018902	0.14341	0.8822	0.99353	0.88596	0.99998
CISH	6	-0.043853	-0.32274	0.69106	0.99224	0.74689	0.99998
DAZ1	6	0.020952	0.29641	0.86911	0.99256	0.76692	0.99998
NonTargetingControlGuideForHuman_0712	1	-0.50952	-1.936	0.12057	0.95024	0.052867	0.99998
C11orf30	6	-0.086068	-0.70039	0.45062	0.99224	0.48368	0.99998
POU2F3	6	0.092599	0.94804	0.43587	0.99224	0.34311	0.99998
MEIS2	6	-0.0073448	-0.058625	0.93257	0.99587	0.95325	0.99998
NTSR2	6	0.066395	0.55459	0.58211	0.99224	0.57918	0.99998
ZNF235	6	0.058657	0.36449	0.62857	0.99224	0.71549	0.99998
E2F7	6	0.073599	0.72309	0.53961	0.99224	0.46963	0.99998
CCDC134	6	-0.083005	-0.95531	0.4661	0.99224	0.33942	0.99998
TGFB3	6	0.0060591	0.050921	0.96981	0.99787	0.95939	0.99998
PLAC9	6	0.13589	1.1379	0.25331	0.99045	0.25518	0.99998
HYAL4	6	-0.10074	-0.95441	0.37932	0.99224	0.33988	0.99998
FBXL4	6	-0.13902	-1.2647	0.23063	0.9833	0.20598	0.99998
HIBCH	6	0.12483	0.96725	0.29562	0.99224	0.33342	0.99998
ALPI	6	-0.070769	-0.86626	0.53076	0.99224	0.38635	0.99998
GP9	6	-0.098131	-1.3096	0.39282	0.99224	0.19033	0.99998
TPPP2	6	-0.17775	-1.4268	0.12794	0.95061	0.15363	0.99998
PPIL4	6	0.11279	0.78473	0.3435	0.99224	0.43261	0.99998
TP53TG3	5	0.015924	0.2577	0.90985	0.99432	0.79664	0.99998
ANKRD22	6	-0.01988	-0.16756	0.84671	0.99256	0.86693	0.99998
hsa-mir-6771	4	-0.12047	-0.88358	0.39955	0.99224	0.37692	0.99998
SMPD2	6	-0.10296	-0.84162	0.36858	0.99224	0.4	0.99998
C1orf234	6	0.1574	1.2521	0.18832	0.97234	0.21052	0.99998
LSM1	6	-0.26458	-2.782	0.028621	0.87073	0.0054025	0.99998
POMC	6	0.017761	0.16277	0.88902	0.99353	0.8707	0.99998
COX6A1	6	0.060968	0.35651	0.61446	0.99224	0.72146	0.99998
SLC39A14	6	0.10927	0.7684	0.35945	0.99224	0.44225	0.99998
MRGPRD	6	-0.14478	-1.1472	0.21109	0.97648	0.2513	0.99998
ATHL1	6	0.020325	0.16315	0.87316	0.99273	0.8704	0.99998
TMEM11	6	-0.14919	-1.3119	0.19851	0.97381	0.18955	0.99998
TIMM9	6	0.28758	1.3578	0.019542	0.86004	0.17452	0.99998
SLC25A31	6	-0.087894	-0.29037	0.44241	0.99224	0.77153	0.99998
PCDHB4	6	0.113	0.89402	0.34258	0.99224	0.37131	0.99998
PGS1	6	-0.15093	-1.4323	0.19252	0.97253	0.15205	0.99998
SSU72	6	0.18394	1.0731	0.12357	0.95061	0.28321	0.99998
COG2	6	-0.06848	-0.45286	0.54422	0.99224	0.65065	0.99998
MVB12A	6	0.010745	0.12446	0.93741	0.99638	0.90095	0.99998
C6orf141	6	0.010984	0.074828	0.93603	0.99638	0.94035	0.99998
NFE2L2	6	0.092688	0.85635	0.43522	0.99224	0.3918	0.99998
PPARGC1A	6	-0.17881	-1.1767	0.12569	0.95061	0.2393	0.99998
IGFBP3	6	0.0031478	0.030189	0.98922	0.99916	0.97592	0.99998
SMUG1	6	0.076894	0.50876	0.52095	0.99224	0.61092	0.99998
C1orf127	6	0.01002	0.061411	0.94225	0.99703	0.95103	0.99998
RHOU	6	0.16126	1.1317	0.17744	0.9666	0.25775	0.99998
AHCTF1	6	-0.17613	-0.99811	0.13135	0.95061	0.31822	0.99998
PEPD	6	0.068251	0.45618	0.57095	0.99224	0.64826	0.99998
IFITM5	6	0.15549	1.3064	0.19408	0.97342	0.19143	0.99998
AANAT	6	-0.14476	-1.235	0.21114	0.97648	0.21683	0.99998
PRELID2	6	0.18897	1.8985	0.11416	0.95024	0.057634	0.99998
CXorf51A	5	-0.09257	-1.0563	0.45845	0.99224	0.29082	0.99998
STAMBPL1	6	-0.070406	-0.57729	0.53229	0.99224	0.56374	0.99998
ATPAF1	6	0.034756	0.22728	0.77785	0.99256	0.82021	0.99998
OR4A16	6	-0.14077	-1.0453	0.22455	0.9833	0.29587	0.99998
FAM76A	6	-0.049623	-0.33952	0.65562	0.99224	0.73422	0.99998
AICDA	6	0.041347	0.47426	0.7354	0.99256	0.63531	0.99998
FGF21	6	0.0337	0.23585	0.7843	0.99256	0.81355	0.99998
ERVMER34-1	6	0.010051	0.092655	0.94207	0.99703	0.92618	0.99998
CDK5RAP2	6	-0.10809	-1.2592	0.34714	0.99224	0.20797	0.99998
MYOM1	6	-0.080782	-0.78168	0.47647	0.99224	0.4344	0.99998
NOTCH3	6	-0.010039	-0.073113	0.91391	0.99455	0.94172	0.99998
HTR1E	6	-0.061538	-0.47347	0.58358	0.99224	0.63588	0.99998
OAZ3	6	-0.022723	-0.14769	0.82846	0.99256	0.88258	0.99998
SLC35G2	6	-0.0002612	-0.0013612	0.98603	0.99883	0.99891	0.99998
CCDC87	6	-0.017637	-0.14175	0.86164	0.99256	0.88728	0.99998
GTF2B	6	0.17968	1.1345	0.13209	0.95061	0.25658	0.99998
ASB3	6	-0.27353	-1.5411	0.02392	0.86304	0.1233	0.99998
hsa-mir-3202-1	4	-0.090949	-0.70793	0.51883	0.99224	0.47899	0.99998
ASUN	6	0.23154	1.8482	0.056644	0.94032	0.064579	0.99998
FHOD3	6	0.055042	0.52787	0.65069	0.99224	0.59759	0.99998
OR5F1	6	-0.070752	-0.92418	0.53086	0.99224	0.35539	0.99998
FRG1	6	-0.12876	-0.74103	0.26414	0.99224	0.45868	0.99998
SLC5A11	6	0.062135	0.22645	0.60677	0.99224	0.82085	0.99998
MS4A7	6	-0.026115	-0.22688	0.80555	0.99256	0.82052	0.99998
ZSCAN23	6	-0.043228	-0.30381	0.6948	0.99224	0.76127	0.99998
LY6H	6	0.030573	0.21833	0.80573	0.99256	0.82717	0.99998
KIAA1161	6	0.12046	1.1324	0.31189	0.99224	0.25748	0.99998
CTPS2	6	-0.07556	-0.70189	0.50482	0.99224	0.48275	0.99998
PAAF1	6	0.011023	0.088648	0.93584	0.99638	0.92936	0.99998
ITPRIP	6	-0.037477	-0.45174	0.73139	0.99256	0.65146	0.99998
LOC728392	6	0.026226	0.2664	0.83601	0.99256	0.78993	0.99998
hsa-mir-3928	4	0.10303	0.74159	0.47675	0.99224	0.45833	0.99998
LSG1	6	0.21903	1.0869	0.070056	0.94089	0.27708	0.99998
P4HA3	6	0.0037717	0.029952	0.98539	0.99883	0.97611	0.99998
hsa-mir-589	4	0.068054	0.2523	0.64202	0.99224	0.80081	0.99998
SLC34A2	6	-0.00024961	-0.0014055	0.98603	0.99883	0.99888	0.99998
RASIP1	6	-0.084447	-0.67664	0.4585	0.99224	0.49863	0.99998
BBS1	6	0.092136	0.4166	0.43877	0.99224	0.67697	0.99998
SLC25A44	6	-0.069083	-0.61447	0.54072	0.99224	0.5389	0.99998
MTCH2	6	0.05091	0.37323	0.67576	0.99224	0.70898	0.99998
SRSF2	6	0.18827	0.81979	0.11509	0.95024	0.41234	0.99998
SORT1	6	-0.041356	-0.27173	0.70613	0.99224	0.78583	0.99998
PRDM9	6	0.077872	0.36614	0.51532	0.99224	0.71426	0.99998
KRTAP25-1	6	0.13591	1.1309	0.25331	0.99045	0.25809	0.99998
MDN1	6	-0.18153	-1.3322	0.12025	0.95024	0.18281	0.99998
CDAN1	6	0.026396	0.27249	0.83426	0.99256	0.78524	0.99998
COG5	6	-0.029092	-0.15557	0.78734	0.99256	0.87638	0.99998
C16orf55	5	-0.13441	-1.0543	0.28829	0.99224	0.29174	0.99998
hsa-mir-362	4	-0.15066	-1.8726	0.29599	0.99224	0.06113	0.99998
SLC5A9	6	0.080659	0.65842	0.49906	0.99224	0.51027	0.99998
RBM38	6	-0.14172	-1.575	0.22137	0.98147	0.11525	0.99998
C1GALT1C1	6	-0.10526	-0.90781	0.35899	0.99224	0.36398	0.99998
ITFG1	6	0.15877	1.0393	0.18422	0.96828	0.29867	0.99998
HBG1	6	-0.11321	-0.94701	0.32475	0.99224	0.34364	0.99998
DMWD	6	0.042265	0.49044	0.72923	0.99256	0.62382	0.99998
NonTargetingControlGuideForHuman_0497	1	0.045291	0.26153	0.88275	0.99353	0.79368	0.99998
DUSP8	6	0.075994	0.40857	0.52634	0.99224	0.68286	0.99998
RFTN1	6	-0.010097	-0.10429	0.91358	0.99453	0.91694	0.99998
FBXW11	6	0.028764	0.22799	0.81735	0.99256	0.81965	0.99998
hsa-mir-4665	4	-0.01493	-0.061036	0.89819	0.99432	0.95133	0.99998
SNAPC2	6	-0.055983	-0.34033	0.617	0.99224	0.73361	0.99998
TBC1D5	6	-0.0076158	-0.054283	0.93073	0.99587	0.95671	0.99998
VWA9	6	-0.19027	-1.1496	0.10499	0.95024	0.2503	0.99998
WDFY3	6	0.0070207	0.051444	0.96285	0.99752	0.95897	0.99998
hsa-mir-4315-1	4	-0.30325	-2.5832	0.045029	0.89344	0.009788	0.99998
ABCF3	6	-0.077447	-0.63521	0.49449	0.99224	0.52529	0.99998
NFU1	6	-0.058624	-0.73697	0.6005	0.99224	0.46114	0.99998
AQP5	6	0.037499	0.21957	0.75983	0.99256	0.82621	0.99998
PPOX	6	-0.080077	-0.72489	0.48057	0.99224	0.46852	0.99998
RBBP4	6	-0.043916	-0.39013	0.69065	0.99224	0.69644	0.99998
KDM4E	6	-0.19232	-1.7414	0.10177	0.95024	0.081607	0.99998
COPRS	6	0.066616	0.51606	0.58045	0.99224	0.60581	0.99998
hsa-mir-3913-1	4	0.13978	1.353	0.33903	0.99224	0.17605	0.99998
hsa-mir-802	4	0.044744	0.38853	0.76743	0.99256	0.69763	0.99998
hsa-mir-4417	4	-0.021666	-0.10167	0.86219	0.99256	0.91902	0.99998
NARF	6	-0.064763	-0.43783	0.56713	0.99224	0.66151	0.99998
CCDC153	6	0.12503	0.84495	0.29511	0.99224	0.39814	0.99998
KRT78	6	0.21963	2.3538	0.069549	0.94089	0.018585	0.99998
GLIPR2	6	-0.060815	-0.38992	0.58773	0.99224	0.69659	0.99998
BEX2	6	0.075698	0.78335	0.52754	0.99224	0.43342	0.99998
FAM92A1	6	-0.054119	-0.36396	0.62861	0.99224	0.71588	0.99998
hsa-mir-625	4	0.088585	0.43449	0.54007	0.99224	0.66393	0.99998
KRT3	6	0.155	1.1512	0.19556	0.97381	0.24966	0.99998
ZSWIM7	6	0.13127	1.312	0.27207	0.99224	0.18951	0.99998
P2RY6	6	0.068707	0.37962	0.56865	0.99224	0.70423	0.99998
GLIS2	6	0.07033	1.0654	0.56003	0.99224	0.28672	0.99998
ST3GAL2	6	-0.22429	-1.5363	0.059547	0.94089	0.12448	0.99998
ANKS1A	6	-0.20675	-1.6713	0.080748	0.94089	0.094654	0.99998
RIPK3	6	0.050984	0.46213	0.6753	0.99224	0.64399	0.99998
PCSK4	6	0.092276	0.76618	0.4378	0.99224	0.44357	0.99998
CLDN8	6	-0.11229	-1.1035	0.32839	0.99224	0.26983	0.99998
CXorf61	6	-0.03942	-0.29735	0.7178	0.99256	0.7662	0.99998
IGFL1	6	0.1372	1.1601	0.24944	0.99018	0.24602	0.99998
TDGF1	6	0.18236	1.8666	0.12665	0.95061	0.061964	0.99998
MYPOP	6	-0.01744	-0.11823	0.86284	0.99256	0.90588	0.99998
hsa-mir-941-1	4	-0.10131	-0.79382	0.47578	0.99224	0.4273	0.99998
SLCO3A1	6	0.081377	0.72779	0.49463	0.99224	0.46674	0.99998
ZMYM1	6	0.13204	0.86373	0.26884	0.99224	0.38773	0.99998
NEUROG2	6	0.0029063	0.024073	0.99078	0.99944	0.98079	0.99998
OR4D1	6	-0.038753	-0.31282	0.72259	0.99256	0.75442	0.99998
FAM92B	6	-0.26761	-2.1417	0.026547	0.87073	0.032219	0.99998
AMBRA1	6	-0.16991	-1.1509	0.14583	0.96061	0.24978	0.99998
EFCAB11	6	-0.0036726	-0.024246	0.96078	0.99742	0.98066	0.99998
HSD17B2	6	0.037386	0.45547	0.76066	0.99256	0.64877	0.99998
LOC100288332	3	0.025912	0.28472	0.88782	0.99353	0.77586	0.99998
YIF1B	6	0.05752	0.60005	0.63562	0.99224	0.54847	0.99998
RANBP9	6	-0.10547	-0.85252	0.35825	0.99224	0.39393	0.99998
TEX264	6	-0.15529	-1.2823	0.18072	0.9666	0.19972	0.99998
BEX1	6	-0.099364	-1.0765	0.38646	0.99224	0.2817	0.99998
THBS2	6	0.029737	0.23262	0.81126	0.99256	0.81605	0.99998
SNTG2	6	0.13343	1.0189	0.26386	0.99224	0.30824	0.99998
RALYL	6	0.021707	0.14337	0.86427	0.99256	0.886	0.99998
FOXD1	6	0.090379	0.62439	0.44831	0.99224	0.53237	0.99998
TMEM102	6	0.11076	0.76223	0.35249	0.99224	0.44592	0.99998
hsa-mir-6812	4	0.38687	0.76547	0.013182	0.83102	0.44399	0.99998
PSMD9	6	-0.15153	-1.0741	0.19086	0.97253	0.28278	0.99998
hsa-mir-5197	4	-0.02448	-0.23188	0.84588	0.99256	0.81663	0.99998
ZNF329	6	-0.079061	-0.51993	0.4861	0.99224	0.60311	0.99998
HADHA	6	0.1958	1.2299	0.10278	0.95024	0.21872	0.99998
hsa-mir-7112-1	4	-0.016704	-0.26044	0.88865	0.99353	0.79453	0.99998
SNURF	6	-0.056247	-0.6386	0.61543	0.99224	0.52308	0.99998
BRMS1L	6	-0.18039	-1.6882	0.1226	0.95061	0.091369	0.99998
EPM2A	6	-0.072628	-0.6567	0.51975	0.99224	0.51137	0.99998
PDZK1IP1	6	0.10373	0.91795	0.38438	0.99224	0.35864	0.99998
DDX11	6	0.14004	1.3682	0.23994	0.98383	0.17125	0.99998
KRTAP12-3	6	-0.038967	-0.17883	0.72061	0.99256	0.85807	0.99998
PCDH17	6	0.099192	0.77376	0.40586	0.99224	0.43907	0.99998
C18orf8	6	0.024282	0.17448	0.84832	0.99256	0.86149	0.99998
ZNF528	6	0.12371	1.0946	0.29972	0.99224	0.27368	0.99998
GTF2IRD2B	3	-0.2051	-1.0518	0.22017	0.98147	0.2929	0.99998
B3GNT5	6	0.021477	0.21382	0.86588	0.99256	0.83069	0.99998
BSCL2	6	0.15551	0.78347	0.19399	0.97342	0.43335	0.99998
DKK4	6	-0.051367	-0.58725	0.6459	0.99224	0.55703	0.99998
SLC6A1	6	0.054394	0.53127	0.65451	0.99224	0.59523	0.99998
KIAA1755	6	-0.17838	-1.8241	0.12665	0.95061	0.06813	0.99998
ADIPOQ	6	-0.11285	-0.8961	0.32617	0.99224	0.3702	0.99998
B3GNTL1	6	0.014894	0.10382	0.90842	0.99432	0.91732	0.99998
CHTF8	6	-0.028313	-0.2871	0.79251	0.99256	0.77403	0.99998
ASB8	6	0.00048248	0.003976	0.99193	0.99967	0.99683	0.99998
IRX4	6	0.0036836	0.027828	0.9859	0.99883	0.9778	0.99998
NonTargetingControlGuideForHuman_0722	1	-0.034167	-0.17194	0.89192	0.99353	0.86348	0.99998
hsa-mir-6715a	4	0.055281	0.64924	0.70825	0.99224	0.51618	0.99998
HIST1H2AK	6	-0.073079	-0.71089	0.51763	0.99224	0.47715	0.99998
OR3A3	6	0.13996	1.1493	0.24017	0.98383	0.25045	0.99998
HOOK1	6	0.1465	1.1037	0.22068	0.98147	0.26973	0.99998
TNFRSF4	6	-0.15386	-1.4464	0.18413	0.96828	0.14806	0.99998
FAM229B	6	-0.040676	-0.51348	0.70987	0.99224	0.60762	0.99998
OR51V1	6	0.096116	0.70151	0.41964	0.99224	0.48298	0.99998
TWF1	6	-0.12035	-0.74927	0.29599	0.99224	0.4537	0.99998
MPP5	6	-0.013892	-0.11513	0.88805	0.99353	0.90834	0.99998
GRAMD1A	6	0.022077	0.15581	0.86196	0.99256	0.87618	0.99998
SLC15A1	6	-0.056466	-0.5064	0.61386	0.99224	0.61258	0.99998
DCHS1	6	0.024649	0.25771	0.84611	0.99256	0.79663	0.99998
TIGD1	6	0.09695	0.61443	0.41559	0.99224	0.53893	0.99998
RAB39B	6	-0.062977	-0.65452	0.57616	0.99224	0.51278	0.99998
RNF148	6	0.043163	0.55708	0.72286	0.99256	0.57748	0.99998
NFIL3	6	-0.10125	-0.92167	0.37673	0.99224	0.3567	0.99998
ATP8B1	4	0.11557	0.67339	0.42739	0.99224	0.5007	0.99998
BCOR	6	-0.04094	-0.31021	0.70867	0.99224	0.7564	0.99998
CDK20	6	-0.0030425	-0.018716	0.96562	0.99767	0.98507	0.99998
SERINC1	6	0.082081	0.85219	0.49085	0.99224	0.39411	0.99998
RSPRY1	6	0.14858	0.83587	0.21432	0.97936	0.40323	0.99998
TMEM184C	6	-0.023907	-0.22596	0.82186	0.99256	0.82123	0.99998
TWIST1	6	-0.02375	-0.21742	0.82256	0.99256	0.82788	0.99998
IFNA8	6	-0.11633	-0.59281	0.31124	0.99224	0.55331	0.99998
ITPR1	6	-0.046973	-0.40987	0.67217	0.99224	0.6819	0.99998
hsa-mir-6745	4	-0.03326	-0.18045	0.80159	0.99256	0.8568	0.99998
GPR15	6	-0.095053	-1.379	0.40817	0.99224	0.16788	0.99998
SPRN	6	-0.22766	-1.6255	0.05563	0.93566	0.10405	0.99998
MYO1F	6	-0.031081	-0.25597	0.77518	0.99256	0.79798	0.99998
PSMB1	6	-0.18397	-1.067	0.11559	0.95024	0.28599	0.99998
RNASEL	6	-0.080213	-0.68388	0.4797	0.99224	0.49405	0.99998
TATDN3	6	-0.10254	-1.4861	0.3706	0.99224	0.13724	0.99998
CYBA	6	-0.13513	-1.0994	0.24363	0.98694	0.2716	0.99998
ARTN	6	0.12056	0.80254	0.31152	0.99224	0.42224	0.99998
RNASEH2B	6	-0.041066	-0.43399	0.70789	0.99224	0.66429	0.99998
ZC2HC1B	6	-0.00029387	-0.0035813	0.98585	0.99883	0.99714	0.99998
TGM1	6	-0.13215	-0.90186	0.25294	0.99045	0.36713	0.99998
ECI1	6	-0.080338	-0.60668	0.47891	0.99224	0.54407	0.99998
SKOR1	6	-0.1104	-0.93034	0.33673	0.99224	0.35219	0.99998
CNOT6L	6	0.026175	0.18769	0.83657	0.99256	0.85112	0.99998
CSRNP2	6	0.11995	0.5312	0.31424	0.99224	0.59528	0.99998
EIF4G1	6	0.16587	0.96934	0.16477	0.96379	0.33237	0.99998
WDR72	6	-0.0068826	-0.052683	0.93677	0.99638	0.95798	0.99998
SLC7A9	6	0.10912	0.43611	0.36028	0.99224	0.66275	0.99998
SNX6	6	0.033769	0.32951	0.78384	0.99256	0.74177	0.99998
CPE	6	-0.048701	-0.52965	0.66217	0.99224	0.59636	0.99998
ACSS1	6	0.011961	0.20402	0.92925	0.9958	0.83834	0.99998
NSFL1C	6	0.093202	0.61838	0.43356	0.99224	0.53632	0.99998
TOR3A	6	-0.19446	-1.3415	0.098262	0.95024	0.17975	0.99998
LAIR1	6	0.11589	0.6142	0.32991	0.99224	0.53908	0.99998
DCST1	6	0.068192	0.70024	0.571	0.99224	0.48378	0.99998
KIF6	6	0.12412	0.89344	0.29801	0.99224	0.37162	0.99998
PPP4R1	6	-0.020726	-0.20657	0.84178	0.99256	0.83634	0.99998
NAP1L2	6	0.038396	0.3145	0.75379	0.99256	0.75314	0.99998
hsa-mir-651	4	-0.11652	-0.62538	0.41333	0.99224	0.53172	0.99998
SEPN1	6	-0.05894	-0.58654	0.59856	0.99224	0.55751	0.99998
ABHD16B	6	-0.12244	-1.1801	0.28852	0.99224	0.23796	0.99998
SNX18	6	0.23201	0.9619	0.056229	0.93865	0.3361	0.99998
KIF7	6	0.12442	1.3234	0.29723	0.99224	0.18572	0.99998
AXIN2	6	-0.18871	-1.3476	0.10711	0.95024	0.17777	0.99998
KIF5A	6	-0.19546	-1.5955	0.096972	0.95024	0.1106	0.99998
ZAR1	6	-0.2477	-1.4641	0.038392	0.87073	0.14317	0.99998
GSAP	5	0.057412	0.52861	0.66456	0.99224	0.59708	0.99998
ITGB7	6	0.09351	0.71261	0.43223	0.99224	0.47609	0.99998
NonTargetingControlGuideForHuman_0067	1	-0.031633	-0.35582	0.89897	0.99432	0.72197	0.99998
TMEM72	6	-0.13333	-0.85051	0.24934	0.99018	0.39504	0.99998
THBD	6	0.068364	0.66179	0.57045	0.99224	0.50811	0.99998
hsa-mir-100	4	0.49023	1.765	0.0023966	0.61111	0.077566	0.99998
SMIM21	6	0.14296	1.1763	0.23174	0.9833	0.23947	0.99998
UTY	6	0.057976	0.58497	0.63262	0.99224	0.55857	0.99998
PLIN5	6	0.051328	0.3556	0.67313	0.99224	0.72214	0.99998
METRN	6	0.060541	0.65821	0.61663	0.99224	0.5104	0.99998
SPESP1	5	0.18752	1.4469	0.15011	0.96247	0.14794	0.99998
TSGA10	6	-0.10239	-0.44213	0.37143	0.99224	0.65839	0.99998
TRPV2	6	0.30969	1.0239	0.01332	0.83102	0.30589	0.99998
SNAI3	6	0.17452	1.3304	0.14352	0.95935	0.18339	0.99998
EFCAB4A	6	0.092211	0.55358	0.43813	0.99224	0.57986	0.99998
CXCL9	6	0.09765	0.88164	0.41268	0.99224	0.37797	0.99998
CPEB2	6	0.1274	0.98627	0.28626	0.99224	0.324	0.99998
LINGO2	6	-0.047327	-0.4331	0.67009	0.99224	0.66494	0.99998
DDX43	6	-0.004586	-0.036069	0.95423	0.99736	0.97123	0.99998
hsa-mir-885	4	0.13119	0.62208	0.36848	0.99224	0.53389	0.99998
POLN	6	-0.055328	-0.48956	0.62174	0.99224	0.62445	0.99998
SF3B5	6	0.090963	0.53325	0.4443	0.99224	0.59386	0.99998
TRAPPC8	6	0.017491	0.11859	0.89068	0.99353	0.9056	0.99998
LRGUK	6	0.041861	0.37713	0.73231	0.99256	0.70608	0.99998
C7orf71	6	-0.037192	-0.44682	0.73337	0.99256	0.65501	0.99998
FOXL2	6	0.2517	1.2676	0.038807	0.87073	0.20495	0.99998
WFDC5	6	0.13108	0.85655	0.27257	0.99224	0.39169	0.99998
C1orf216	6	0.15906	1.0813	0.18316	0.96691	0.27955	0.99998
HES3	6	-0.032551	-0.25747	0.76388	0.99256	0.79682	0.99998
OR1L3	6	-0.15648	-1.7256	0.17717	0.9666	0.084418	0.99998
CTNND2	6	0.30085	1.1459	0.015716	0.84368	0.25182	0.99998
NonTargetingControlGuideForHuman_0713	1	-0.62329	-1.4592	0.073697	0.94089	0.14452	0.99998
C5orf28	6	0.0034757	0.044554	0.98714	0.99907	0.96446	0.99998
GTPBP6_X	6	-0.1527	-1.8323	0.18791	0.97234	0.066914	0.99998
SULT1C3	6	-0.12126	-0.93555	0.29248	0.99224	0.34951	0.99998
FAM133B	6	0.074917	0.56101	0.53224	0.99224	0.57479	0.99998
GPR19	6	-0.17679	-1.2352	0.13016	0.95061	0.21676	0.99998
CCL14	6	0.0051858	0.04913	0.97539	0.99797	0.96082	0.99998
