Gene	sgRNA	NKselection|beta	NKselection|z	NKselection|p-value	NKselection|fdr	NKselection|wald-p-value	NKselection|wald-fdr
KLHL30	6	0.062162	0.46868	0.60667	0.99224	0.6393	0.99998
hsa-mir-4778	4	0.08026	0.90111	0.5792	0.99224	0.36753	0.99998
OR10G9	6	-0.022669	-0.1783	0.82901	0.99256	0.85849	0.99998
PCDHAC2	2	0.29175	1.1782	0.16915	0.96379	0.23872	0.99998
CPT1C	6	0.27578	1.3304	0.024566	0.86687	0.18339	0.99998
DKK3	6	0.089413	0.71806	0.4525	0.99224	0.47272	0.99998
DHDH	6	-0.017965	-0.12591	0.85957	0.99256	0.8998	0.99998
NDUFS8	6	-0.089294	-0.77353	0.43573	0.99224	0.43921	0.99998
KANK2	6	0.063948	0.39946	0.59543	0.99224	0.68956	0.99998
C8orf37	6	0.021227	0.16393	0.86768	0.99256	0.86978	0.99998
YWHAB	6	-0.0067717	-0.071117	0.93778	0.99638	0.9433	0.99998
KRTAP12-4	6	-0.083071	-0.72898	0.46587	0.99224	0.46601	0.99998
OR6K6	6	-0.12493	-1.009	0.2781	0.99224	0.31298	0.99998
RPRML	6	0.16509	0.95839	0.16721	0.96379	0.33787	0.99998
IBTK	6	-0.11969	-0.78453	0.29852	0.99224	0.43273	0.99998
SNPH	6	0.047543	0.2569	0.69604	0.99224	0.79726	0.99998
CYP4F11	6	0.020816	0.22452	0.86998	0.99256	0.82235	0.99998
CDC14A	4	0.18801	1.3989	0.1992	0.97381	0.16185	0.99998
PXN	6	0.1284	0.91099	0.28211	0.99224	0.3623	0.99998
SPATA32	6	-0.094824	-0.40911	0.40927	0.99224	0.68246	0.99998
TCEB3C	3	-0.41464	-1.6921	0.019219	0.86004	0.090627	0.99998
KRT86	4	0.00091414	0.0068861	0.98958	0.99916	0.99451	0.99998
SGK1	6	-0.0050151	-0.040567	0.95078	0.99715	0.96764	0.99998
TNFAIP8	6	-0.22724	-2.7308	0.055999	0.93865	0.006319	0.99998
TAPT1	6	0.085726	0.75587	0.47172	0.99224	0.44973	0.99998
MTMR12	6	-0.04837	-0.54473	0.66438	0.99224	0.58594	0.99998
IFNA6	6	-0.018674	-0.21882	0.85427	0.99256	0.82679	0.99998
PRAMEF15	6	0.17297	1.5253	0.14707	0.96061	0.1272	0.99998
SNX29	6	0.085512	0.74345	0.47255	0.99224	0.45721	0.99998
GNE	6	0.19454	1.771	0.10476	0.95024	0.076555	0.99998
MAP3K3	6	-0.25611	-1.5579	0.033138	0.87073	0.11925	0.99998
ST20	6	-0.48093	-2.1601	0.00027654	0.33333	0.030767	0.99998
TNFSF14	6	-0.021079	-0.16234	0.83938	0.99256	0.87104	0.99998
HIST1H3B	6	-0.115	-1.3585	0.31673	0.99224	0.1743	0.99998
ENKUR	6	-0.136	-1.0173	0.23994	0.98383	0.30902	0.99998
LSMD1	6	-0.066343	-0.61299	0.55773	0.99224	0.53988	0.99998
REXO4	6	0.064656	0.33284	0.59165	0.99224	0.73925	0.99998
NonTargetingControlGuideForHuman_0805	1	0.12159	0.41948	0.67369	0.99224	0.67487	0.99998
ABCA3	6	-0.079888	-0.58407	0.48168	0.99224	0.55917	0.99998
MRPS10	6	0.068248	0.60215	0.57095	0.99224	0.54708	0.99998
FAM195B	6	0.052916	0.44785	0.66272	0.99224	0.65426	0.99998
NR1D1	6	0.04356	0.16622	0.72061	0.99256	0.86798	0.99998
F8A3	1	0.023162	0.14152	0.94723	0.99715	0.88746	0.99998
ISOC1	6	-0.06574	-0.50871	0.56118	0.99224	0.61096	0.99998
NKD1	6	0.25576	1.628	0.036042	0.87073	0.10352	0.99998
KRT73	6	0.058025	0.374	0.63235	0.99224	0.7084	0.99998
AFF3	6	0.04246	0.33624	0.72761	0.99256	0.73669	0.99998
AFMID	6	-0.23323	-1.9019	0.050053	0.91399	0.057179	0.99998
ANKS1B	6	-0.035036	-0.23849	0.74886	0.99256	0.8115	0.99998
XAGE3	6	0.15433	0.79293	0.19754	0.97381	0.42782	0.99998
THG1L	6	0.10569	1.075	0.37613	0.99224	0.28239	0.99998
GRAMD1C	6	0.14709	1.1858	0.21902	0.98147	0.23572	0.99998
hsa-mir-7848	4	0.059047	0.41441	0.68807	0.99224	0.67857	0.99998
CLCA4	6	-0.030367	-0.31423	0.77965	0.99256	0.75335	0.99998
NLRP14	6	0.014562	0.1679	0.91049	0.99432	0.86666	0.99998
GPR160	6	0.0056496	0.061763	0.97248	0.99787	0.95075	0.99998
C20orf26	6	0.06859	0.55111	0.56943	0.99224	0.58156	0.99998
APOH	6	-0.14811	-0.9164	0.201	0.9754	0.35945	0.99998
OTOR	6	-0.071489	-0.4464	0.52671	0.99224	0.65531	0.99998
WNT9B	6	0.013817	0.069284	0.91547	0.99455	0.94476	0.99998
hsa-mir-3923	4	0.26999	1.2494	0.073098	0.94089	0.21153	0.99998
YTHDF1	6	0.10688	0.99655	0.37037	0.99224	0.31898	0.99998
RBBP5	6	-0.3045	-1.8459	0.012121	0.81734	0.064905	0.99998
NDUFA1	6	-0.13156	-0.70128	0.25492	0.99124	0.48313	0.99998
FAM154B	6	0.0012277	0.0086544	0.99756	0.99972	0.99309	0.99998
CST9	6	0.056006	0.37343	0.64474	0.99224	0.70883	0.99998
ANXA2	6	-0.066622	-0.92371	0.55616	0.99224	0.35564	0.99998
TNIP1	6	0.20346	1.0647	0.090658	0.94858	0.28702	0.99998
BECN1	6	0.32305	2.5959	0.010324	0.81734	0.0094347	0.99998
IL18BP	6	0.036892	0.26028	0.76338	0.99256	0.79465	0.99998
PTPN12	5	-0.14319	-1.2941	0.25911	0.99224	0.19563	0.99998
DEFB4A	5	-0.013425	-0.11228	0.90413	0.99432	0.9106	0.99998
PEX6	6	0.21299	1.12	0.077568	0.94089	0.2627	0.99998
TAAR9	6	-0.020552	-0.15083	0.84256	0.99256	0.88011	0.99998
SLC22A5	6	-0.22866	-1.4708	0.054339	0.93076	0.14134	0.99998
NonTargetingControlGuideForHuman_0933	1	-0.01978	-0.21923	0.93285	0.99587	0.82647	0.99998
C2orf61	6	-0.09144	-0.60839	0.42563	0.99224	0.54293	0.99998
PAPD5	6	0.033463	0.21926	0.78582	0.99256	0.82645	0.99998
MFSD10	6	-0.12265	-1.2737	0.28792	0.99224	0.20278	0.99998
P4HTM	6	-0.061338	-0.38181	0.58483	0.99224	0.7026	0.99998
hsa-mir-3659	4	0.08826	0.58975	0.54178	0.99224	0.55536	0.99998
PHF19	6	0.027879	0.15352	0.82371	0.99256	0.87799	0.99998
HDAC11	6	0.21172	2.1253	0.078674	0.94089	0.033563	0.99998
PPP1R12C	6	0.18116	1.7493	0.12923	0.95061	0.080245	0.99998
SLC52A2	6	0.096585	0.69653	0.41743	0.99224	0.48609	0.99998
KIN	6	-0.13164	-1.295	0.2546	0.99124	0.19532	0.99998
ZBTB7A	6	0.22859	1.1989	0.05987	0.94089	0.23056	0.99998
PHYKPL	1	-0.3204	-0.77214	0.28755	0.99224	0.44003	0.99998
SLCO2A1	6	-0.00017425	-0.0013662	0.98659	0.99883	0.99891	0.99998
DDAH2	6	-0.06286	-0.43642	0.57685	0.99224	0.66253	0.99998
NonTargetingControlGuideForHuman_0239	1	0.076754	0.61736	0.79292	0.99256	0.537	0.99998
CENPT	6	-0.39935	-2.0021	0.0016592	0.56923	0.045278	0.99998
PRAMEF6	2	-0.14584	-1.0506	0.46831	0.99224	0.29346	0.99998
PRL	6	0.058212	0.38791	0.63119	0.99224	0.69809	0.99998
COX6C	6	0.25172	1.6592	0.038761	0.87073	0.097076	0.99998
CLEC5A	6	-0.0021914	-0.017861	0.97239	0.99787	0.98575	0.99998
EMCN	6	-0.10759	-0.68832	0.34945	0.99224	0.49125	0.99998
SOS1	6	0.21833	1.2144	0.070793	0.94089	0.22458	0.99998
ETV4	6	-0.29862	-1.9261	0.013412	0.83102	0.054087	0.99998
hsa-mir-200b	4	-0.090894	-0.32283	0.51906	0.99224	0.74682	0.99998
ERO1L	6	0.045575	0.28903	0.70761	0.99224	0.77256	0.99998
MBD5	6	-0.035606	-0.24343	0.74416	0.99256	0.80767	0.99998
KIR3DL2	5	-0.020331	-0.10545	0.85961	0.99256	0.91602	0.99998
FBXW8	6	0.11015	0.61875	0.35535	0.99224	0.53608	0.99998
SETD3	6	-0.058419	-0.70587	0.60202	0.99224	0.48027	0.99998
LPGAT1	6	-0.099365	-0.67065	0.38646	0.99224	0.50244	0.99998
WEE2	6	-0.15597	-2.1292	0.17864	0.9666	0.033239	0.99998
DHRS9	6	0.16997	1.1346	0.15398	0.96379	0.25654	0.99998
ITGA6	6	0.0082758	0.065567	0.95428	0.99736	0.94772	0.99998
PLEKHA3	6	0.018534	0.1556	0.88413	0.99353	0.87635	0.99998
CPA1	6	0.10836	0.61919	0.36364	0.99224	0.53579	0.99998
ACTRT3	6	-0.018242	-0.087049	0.85781	0.99256	0.93063	0.99998
TSSK2	6	-0.062283	-0.31042	0.5792	0.99224	0.75624	0.99998
NRP1	6	0.010241	0.069857	0.94082	0.99692	0.94431	0.99998
hsa-mir-6844	1	0.23742	1.123	0.41411	0.99224	0.26144	0.99998
RFX4	6	0.014616	0.11461	0.91003	0.99432	0.90875	0.99998
EDDM3B	6	0.080074	0.44422	0.50247	0.99224	0.65689	0.99998
ENO3	6	-0.026638	-0.19247	0.80246	0.99256	0.84737	0.99998
NHS	6	-0.092414	-1.0117	0.42163	0.99224	0.31168	0.99998
SPDYE4	6	0.097531	0.72879	0.41319	0.99224	0.46613	0.99998
hsa-mir-32	2	-0.1158	-1.7954	0.55939	0.99224	0.072589	0.99998
MXRA7	6	-0.12378	-0.90777	0.28308	0.99224	0.364	0.99998
RPL30	6	0.17739	0.77173	0.13652	0.95212	0.44027	0.99998
HIST3H3	6	-0.0013718	-0.013007	0.97783	0.99802	0.98962	0.99998
MAPK11	6	-0.14395	-1.4709	0.21381	0.9789	0.14131	0.99998
hsa-mir-198	4	0.11394	0.96767	0.43333	0.99224	0.33321	0.99998
DGKB	6	0.084845	0.75635	0.47606	0.99224	0.44944	0.99998
CHIT1	6	0.046842	0.29619	0.70037	0.99224	0.76709	0.99998
NonTargetingControlGuideForHuman_0587	1	-0.29439	-1.2466	0.32272	0.99224	0.21254	0.99998
PDE6D	6	0.08458	0.55204	0.47804	0.99224	0.58092	0.99998
NRAP	6	0.044114	0.46022	0.71729	0.99256	0.64536	0.99998
FAM25G	2	0.10286	1.4037	0.6228	0.99224	0.1604	0.99998
PITHD1	6	-0.18204	-0.82859	0.11923	0.95024	0.40734	0.99998
FBXW7	6	-0.25408	-2.8627	0.034198	0.87073	0.0042003	0.99998
BBC3	6	0.2101	1.3842	0.081117	0.94089	0.16628	0.99998
METTL18	6	-0.1457	-1.3613	0.20823	0.97623	0.17342	0.99998
ZP1	6	0.004963	0.041785	0.9764	0.99798	0.96667	0.99998
SLC18B1	6	0.021074	0.054723	0.86865	0.99256	0.95636	0.99998
ADAM32	6	0.095465	0.92525	0.42245	0.99224	0.35484	0.99998
DHFRL1	6	-0.16026	-0.89661	0.16823	0.96379	0.36992	0.99998
KLF10	6	0.15899	0.86245	0.18348	0.96767	0.38844	0.99998
OR4P4	6	-0.1741	-1.4628	0.13633	0.95212	0.14352	0.99998
ATXN10	6	-0.13989	-1.2	0.22764	0.9833	0.23015	0.99998
HCRT	6	0.07765	0.67403	0.51634	0.99224	0.50029	0.99998
DEFB4B	4	-0.2016	-1.5806	0.16449	0.96379	0.11396	0.99998
ZNF283	6	0.10016	1.1739	0.40153	0.99224	0.24043	0.99998
DAP	6	-0.074443	-0.83393	0.51104	0.99224	0.40432	0.99998
TMEM119	6	-0.10695	-0.68626	0.35245	0.99224	0.49255	0.99998
RAB9A	6	-0.070591	-0.86233	0.53136	0.99224	0.38851	0.99998
CEP192	6	0.29098	1.5395	0.018344	0.86004	0.12369	0.99998
PPP1R16A	6	0.036395	0.15932	0.76706	0.99256	0.87341	0.99998
HOXB13	6	-0.084132	-0.67725	0.4608	0.99224	0.49825	0.99998
BUB3	6	-0.051484	-0.2758	0.64507	0.99224	0.7827	0.99998
hsa-mir-7157	4	-0.016123	-0.11009	0.89197	0.99353	0.91234	0.99998
GPR87	6	0.14987	1.1584	0.21012	0.97623	0.24669	0.99998
NUBPL	6	0.13596	1.0339	0.25317	0.99045	0.30117	0.99998
FLVCR2	6	0.016617	0.1437	0.89681	0.99432	0.88574	0.99998
SERPINB6	6	-0.10379	-0.89844	0.36521	0.99224	0.36895	0.99998
SVEP1	6	0.014219	0.090593	0.91271	0.99438	0.92782	0.99998
RMDN3	6	0.12785	0.76987	0.28446	0.99224	0.44138	0.99998
NEUROD1	6	0.045716	0.50723	0.70701	0.99224	0.61199	0.99998
hsa-mir-450a-1	2	-0.23725	-1.1308	0.25109	0.99019	0.25816	0.99998
GPR85	6	0.15402	1.1002	0.19855	0.97381	0.27123	0.99998
TBX4	6	0.039322	0.2447	0.74692	0.99256	0.80669	0.99998
CLCN3	6	-0.094548	-0.8497	0.41061	0.99224	0.39549	0.99998
ZNF462	6	0.0053629	0.052574	0.97428	0.99792	0.95807	0.99998
hsa-mir-612	4	0.028336	0.1772	0.85657	0.99256	0.85935	0.99998
DDX47	6	0.011645	0.08483	0.93142	0.99587	0.9324	0.99998
IFI35	6	-0.080761	-0.70513	0.47656	0.99224	0.48073	0.99998
BNC2	6	-0.062121	-0.40223	0.57985	0.99224	0.68751	0.99998
VTCN1	6	0.10353	0.73372	0.3854	0.99224	0.46312	0.99998
SLC12A8	6	0.028445	0.3219	0.82016	0.99256	0.74753	0.99998
PIGK	6	-0.043829	-0.32717	0.69129	0.99224	0.74354	0.99998
DLK2	6	0.051152	0.3828	0.67447	0.99224	0.70187	0.99998
EVPL	6	-0.047112	-0.34907	0.67152	0.99224	0.72703	0.99998
FAM20A	6	-0.079661	-0.50809	0.48325	0.99224	0.61139	0.99998
SPINK13	6	-0.14937	-1.2017	0.19777	0.97381	0.22947	0.99998
TIAM1	6	0.00077863	0.0056782	0.9947	0.99972	0.99547	0.99998
PAQR8	6	-0.085607	-0.71523	0.4525	0.99224	0.47446	0.99998
ZNF766	6	-0.12099	-1.2744	0.29345	0.99224	0.20254	0.99998
FOSL2	6	-0.0016311	-0.011237	0.97603	0.99798	0.99103	0.99998
ELK1	6	0.080712	0.63205	0.49855	0.99224	0.52735	0.99998
RTN2	6	-0.057292	-0.25084	0.60889	0.99224	0.80194	0.99998
PCNXL3	6	-0.15967	-1.1533	0.16984	0.96379	0.24877	0.99998
SATL1	6	-0.057265	-0.41005	0.60921	0.99224	0.68177	0.99998
EXT1	6	-0.11608	-0.73094	0.31202	0.99224	0.46481	0.99998
GRID1	6	0.1851	1.4467	0.12121	0.95061	0.14798	0.99998
THEMIS2	6	0.074402	0.39844	0.5351	0.99224	0.6903	0.99998
hsa-mir-655	4	0.3608	1.2096	0.018943	0.86004	0.22643	0.99998
FGFBP3	6	-0.06999	-0.54819	0.53473	0.99224	0.58356	0.99998
hsa-mir-3615	4	-0.25453	-1.1776	0.08545	0.94393	0.23894	0.99998
ZNF365	6	0.18113	1.7181	0.12937	0.95061	0.085772	0.99998
PHF23	6	-0.16613	-1.2789	0.15495	0.96379	0.20094	0.99998
CYB5RL	6	0.24956	1.84	0.040098	0.87638	0.065772	0.99998
IFT172	6	0.20379	1.1794	0.090243	0.94858	0.23824	0.99998
ACO2	6	-0.028619	-0.22521	0.79048	0.99256	0.82182	0.99998
CD300A	6	0.23965	2.2315	0.048901	0.91394	0.025651	0.99998
SNRNP40	6	-0.10931	-0.65584	0.3424	0.99224	0.51192	0.99998
XKR7	6	-0.061201	-0.27219	0.58552	0.99224	0.78548	0.99998
MILR1	6	-0.10309	-0.68309	0.36812	0.99224	0.49455	0.99998
OR1E2	6	0.027005	0.15459	0.82998	0.99256	0.87714	0.99998
ZSCAN5A	6	0.14813	1.1734	0.21607	0.98147	0.24062	0.99998
CRYBB1	6	0.056909	0.57006	0.63912	0.99224	0.56864	0.99998
DPY19L4	6	-0.041353	-0.19576	0.70618	0.99224	0.8448	0.99998
OR1L1	6	0.058868	0.36757	0.62709	0.99224	0.7132	0.99998
KIAA0895L	6	-0.084292	-0.70963	0.45983	0.99224	0.47793	0.99998
SAMD10	6	0.071502	0.4693	0.5527	0.99224	0.63885	0.99998
DSTN	6	-0.21175	-0.82059	0.074941	0.94089	0.41188	0.99998
SMARCAD1	6	0.029893	0.22771	0.81039	0.99256	0.81987	0.99998
C21orf91	6	0.16819	1.3526	0.15878	0.96379	0.17617	0.99998
